# time[s], T9[GK], density[g/cm^3], R[km], Ye, Le[erg/s], Lebar[erg/s], Te[MeV], Tebar[Mev]
#Nr: 122080
7.260000e-01 6.052742e+00 2.060223e+07 1.115231e+03 4.974594e-01 3.3615e+52 3.6133e+52 4.1215e+00 5.1768e+00
7.270000e-01 6.401213e+00 2.462432e+07 1.108068e+03 4.974264e-01 3.3571e+52 3.6252e+52 4.1439e+00 5.1801e+00
7.280000e-01 6.715294e+00 2.875977e+07 1.102102e+03 4.974001e-01 3.3600e+52 3.5852e+52 4.1840e+00 5.1747e+00
7.290000e-01 7.091561e+00 3.368534e+07 1.097077e+03 4.973850e-01 3.1675e+52 3.5182e+52 4.1893e+00 5.1316e+00
7.300000e-01 7.522993e+00 3.947162e+07 1.093170e+03 4.973704e-01 2.9549e+52 3.4501e+52 4.2048e+00 5.1507e+00
7.310000e-01 7.904074e+00 4.513794e+07 1.090328e+03 4.973545e-01 3.0981e+52 3.4739e+52 4.1777e+00 5.1396e+00
7.320000e-01 8.131388e+00 4.914500e+07 1.087892e+03 4.973367e-01 3.1843e+52 3.3524e+52 4.1821e+00 5.1642e+00
7.330000e-01 8.317156e+00 5.271580e+07 1.085441e+03 4.973168e-01 3.1699e+52 3.2399e+52 4.1919e+00 5.1400e+00
7.340000e-01 8.460869e+00 5.555259e+07 1.082989e+03 4.972960e-01 3.0564e+52 3.2560e+52 4.1645e+00 5.1594e+00
7.350000e-01 8.569114e+00 5.772464e+07 1.080649e+03 4.972744e-01 2.9608e+52 3.2165e+52 4.1582e+00 5.1762e+00
7.360000e-01 8.640365e+00 5.916379e+07 1.078458e+03 4.972528e-01 2.9784e+52 3.2479e+52 4.1515e+00 5.1621e+00
7.370000e-01 8.665786e+00 5.967604e+07 1.076353e+03 4.972315e-01 2.9238e+52 3.2237e+52 4.1631e+00 5.1470e+00
7.380000e-01 8.642424e+00 5.922512e+07 1.074183e+03 4.972102e-01 2.9683e+52 3.2144e+52 4.1446e+00 5.1246e+00
7.390000e-01 8.564164e+00 5.768689e+07 1.071817e+03 4.971881e-01 3.0060e+52 3.2859e+52 4.1571e+00 5.1819e+00
7.400000e-01 8.444150e+00 5.539518e+07 1.069140e+03 4.971647e-01 3.1027e+52 3.3320e+52 4.1622e+00 5.2066e+00
7.410000e-01 8.308652e+00 5.286853e+07 1.066089e+03 4.971395e-01 3.1174e+52 3.3117e+52 4.1649e+00 5.2217e+00
7.420000e-01 8.211674e+00 5.104667e+07 1.062696e+03 4.971137e-01 3.1088e+52 3.2719e+52 4.1755e+00 5.2264e+00
7.430000e-01 8.172189e+00 5.033665e+07 1.059091e+03 4.970878e-01 3.1148e+52 3.2756e+52 4.1622e+00 5.2248e+00
7.440000e-01 8.186865e+00 5.063704e+07 1.055389e+03 4.970621e-01 3.1708e+52 3.3911e+52 4.1280e+00 5.2213e+00
7.450000e-01 8.241287e+00 5.172791e+07 1.051683e+03 4.970370e-01 3.2124e+52 3.4856e+52 4.1599e+00 5.2433e+00
7.460000e-01 8.320792e+00 5.334011e+07 1.048030e+03 4.970128e-01 3.2110e+52 3.4760e+52 4.1900e+00 5.2237e+00
7.470000e-01 8.403619e+00 5.500594e+07 1.044434e+03 4.969897e-01 3.1411e+52 3.4503e+52 4.1996e+00 5.2146e+00
7.480000e-01 8.476784e+00 5.640908e+07 1.040882e+03 4.969675e-01 3.1642e+52 3.5520e+52 4.2167e+00 5.2346e+00
7.490000e-01 8.545777e+00 5.773939e+07 1.037343e+03 4.969469e-01 3.1793e+52 3.5628e+52 4.2561e+00 5.2749e+00
7.500000e-01 8.595558e+00 5.874253e+07 1.033791e+03 4.969274e-01 3.1821e+52 3.5477e+52 4.2471e+00 5.2603e+00
7.510000e-01 8.613042e+00 5.906591e+07 1.030217e+03 4.969084e-01 3.2305e+52 3.4870e+52 4.2291e+00 5.2505e+00
7.520000e-01 8.600360e+00 5.877053e+07 1.026587e+03 4.968896e-01 3.0400e+52 3.3426e+52 4.1952e+00 5.2300e+00
7.530000e-01 8.565591e+00 5.805580e+07 1.022869e+03 4.968705e-01 3.1060e+52 3.4369e+52 4.1791e+00 5.2515e+00
7.540000e-01 8.517902e+00 5.709102e+07 1.019047e+03 4.968508e-01 3.0567e+52 3.3484e+52 4.1687e+00 5.2251e+00
7.550000e-01 8.458435e+00 5.591007e+07 1.015100e+03 4.968302e-01 3.0195e+52 3.3593e+52 4.1915e+00 5.2110e+00
7.560000e-01 8.375469e+00 5.425201e+07 1.010984e+03 4.968092e-01 3.0318e+52 3.3242e+52 4.1425e+00 5.1958e+00
7.570000e-01 8.297386e+00 5.272637e+07 1.006653e+03 4.967854e-01 3.1202e+52 3.4913e+52 4.1545e+00 5.2209e+00
7.580000e-01 8.241487e+00 5.162921e+07 1.002120e+03 4.967597e-01 3.1082e+52 3.4845e+52 4.1510e+00 5.2222e+00
7.590000e-01 8.211655e+00 5.104342e+07 9.974248e+02 4.967330e-01 3.0756e+52 3.4557e+52 4.1777e+00 5.2350e+00
7.600000e-01 8.208265e+00 5.092441e+07 9.926172e+02 4.967057e-01 2.9377e+52 3.3007e+52 4.1960e+00 5.2621e+00
7.610000e-01 8.223299e+00 5.122448e+07 9.877451e+02 4.966791e-01 2.9275e+52 3.2696e+52 4.1961e+00 5.2697e+00
7.620000e-01 8.242582e+00 5.162897e+07 9.828313e+02 4.966524e-01 2.9037e+52 3.2065e+52 4.1998e+00 5.2754e+00
7.630000e-01 8.259577e+00 5.197787e+07 9.778713e+02 4.966254e-01 2.8485e+52 3.0970e+52 4.2502e+00 5.3092e+00
7.640000e-01 8.268891e+00 5.216965e+07 9.728515e+02 4.965982e-01 2.9089e+52 3.1414e+52 4.2089e+00 5.2911e+00
7.650000e-01 8.266940e+00 5.213365e+07 9.677504e+02 4.965706e-01 2.9909e+52 3.1556e+52 4.1816e+00 5.2736e+00
7.660000e-01 8.245226e+00 5.171072e+07 9.625326e+02 4.965448e-01 3.0127e+52 3.2305e+52 4.1443e+00 5.2303e+00
7.670000e-01 8.212104e+00 5.107245e+07 9.571666e+02 4.965180e-01 3.0232e+52 3.2244e+52 4.1384e+00 5.2383e+00
7.680000e-01 8.168045e+00 5.021458e+07 9.516288e+02 4.964900e-01 2.9590e+52 3.2339e+52 4.1681e+00 5.2910e+00
7.690000e-01 8.110774e+00 4.913376e+07 9.458942e+02 4.964612e-01 2.9584e+52 3.2278e+52 4.1937e+00 5.2936e+00
7.700000e-01 8.045551e+00 4.790175e+07 9.399355e+02 4.964352e-01 2.8656e+52 3.2013e+52 4.2265e+00 5.3049e+00
7.710000e-01 7.985281e+00 4.678232e+07 9.337368e+02 4.964093e-01 2.8977e+52 3.2188e+52 4.1952e+00 5.2585e+00
7.720000e-01 7.938273e+00 4.593962e+07 9.273078e+02 4.963827e-01 2.7942e+52 3.1530e+52 4.2064e+00 5.2677e+00
7.730000e-01 7.915695e+00 4.558082e+07 9.206731e+02 4.963563e-01 2.7683e+52 3.1399e+52 4.1850e+00 5.2743e+00
7.740000e-01 7.922706e+00 4.573712e+07 9.138796e+02 4.963320e-01 2.7790e+52 3.1308e+52 4.1737e+00 5.2786e+00
7.750000e-01 7.947889e+00 4.619304e+07 9.069603e+02 4.963067e-01 2.8665e+52 3.0813e+52 4.1597e+00 5.2726e+00
7.760000e-01 7.978380e+00 4.672197e+07 8.999259e+02 4.962808e-01 2.8204e+52 3.0248e+52 4.1674e+00 5.2688e+00
7.770000e-01 7.990371e+00 4.694326e+07 8.927191e+02 4.962571e-01 2.7014e+52 2.8502e+52 4.2012e+00 5.2955e+00
7.780000e-01 7.989855e+00 4.693866e+07 8.852698e+02 4.962324e-01 2.5829e+52 2.7756e+52 4.1937e+00 5.2787e+00
7.790000e-01 7.963470e+00 4.646629e+07 8.775170e+02 4.962077e-01 2.5926e+52 2.7981e+52 4.1541e+00 5.2527e+00
7.800000e-01 7.901386e+00 4.537342e+07 8.693604e+02 4.961846e-01 2.5146e+52 2.7422e+52 4.1760e+00 5.2824e+00
7.810000e-01 7.817676e+00 4.402776e+07 8.607443e+02 4.961604e-01 2.4929e+52 2.7409e+52 4.1430e+00 5.2374e+00
7.820000e-01 7.717588e+00 4.242146e+07 8.516383e+02 4.961380e-01 2.4668e+52 2.7854e+52 4.1241e+00 5.2412e+00
7.830000e-01 7.614622e+00 4.076650e+07 8.420223e+02 4.961148e-01 2.4543e+52 2.7885e+52 4.1428e+00 5.2534e+00
7.840000e-01 7.509571e+00 3.910944e+07 8.318855e+02 4.960924e-01 2.3769e+52 2.7199e+52 4.1314e+00 5.2356e+00
7.850000e-01 7.406188e+00 3.750162e+07 8.212242e+02 4.960692e-01 2.3304e+52 2.7187e+52 4.1420e+00 5.2409e+00
7.860000e-01 7.306486e+00 3.594195e+07 8.100289e+02 4.960477e-01 2.3431e+52 2.7631e+52 4.1490e+00 5.2258e+00
7.870000e-01 7.207885e+00 3.445216e+07 7.982923e+02 4.960268e-01 2.3087e+52 2.7972e+52 4.1450e+00 5.2329e+00
7.880000e-01 7.114254e+00 3.304454e+07 7.860093e+02 4.960080e-01 2.2375e+52 2.7969e+52 4.1457e+00 5.2338e+00
7.890000e-01 7.017501e+00 3.171874e+07 7.731733e+02 4.959904e-01 2.1670e+52 2.7410e+52 4.1310e+00 5.2307e+00
7.900000e-01 6.919033e+00 3.047265e+07 7.597772e+02 4.959742e-01 2.0585e+52 2.6648e+52 4.1074e+00 5.2240e+00
7.910000e-01 6.827449e+00 2.930286e+07 7.458105e+02 4.959596e-01 2.1540e+52 2.7262e+52 4.0992e+00 5.2109e+00
7.920000e-01 6.741887e+00 2.821244e+07 7.312610e+02 4.959468e-01 2.2919e+52 2.7999e+52 4.1244e+00 5.2327e+00
7.930000e-01 6.659191e+00 2.718615e+07 7.161162e+02 4.959357e-01 2.3432e+52 2.9087e+52 4.1628e+00 5.2670e+00
7.940000e-01 6.581508e+00 2.621894e+07 7.003627e+02 4.959260e-01 2.3480e+52 2.9276e+52 4.1612e+00 5.2498e+00
7.950000e-01 6.508232e+00 2.530947e+07 6.839869e+02 4.959176e-01 2.3813e+52 2.8652e+52 4.1644e+00 5.2522e+00
7.960000e-01 6.437413e+00 2.446021e+07 6.669754e+02 4.959104e-01 2.2766e+52 2.7554e+52 4.1460e+00 5.2590e+00
7.970000e-01 6.371814e+00 2.367534e+07 6.493132e+02 4.959040e-01 2.2006e+52 2.6700e+52 4.1444e+00 5.2674e+00
7.980000e-01 6.311223e+00 2.296218e+07 6.309826e+02 4.958984e-01 2.2482e+52 2.7093e+52 4.1606e+00 5.2708e+00
7.990000e-01 6.251311e+00 2.233590e+07 6.119627e+02 4.958937e-01 2.3115e+52 2.7250e+52 4.1667e+00 5.2756e+00
8.000000e-01 6.197804e+00 2.179904e+07 5.922273e+02 4.958895e-01 2.3023e+52 2.6457e+52 4.1777e+00 5.3052e+00
8.010000e-01 6.154520e+00 2.136110e+07 5.717444e+02 4.958855e-01 2.1824e+52 2.5664e+52 4.1660e+00 5.3179e+00
8.020000e-01 6.123432e+00 2.104745e+07 5.504759e+02 4.958820e-01 2.1860e+52 2.5564e+52 4.1573e+00 5.3277e+00
8.030000e-01 6.104449e+00 2.085539e+07 5.283768e+02 4.958786e-01 2.1997e+52 2.6076e+52 4.1696e+00 5.3363e+00
8.040000e-01 6.098154e+00 2.079242e+07 5.053934e+02 4.958753e-01 2.2546e+52 2.6945e+52 4.1988e+00 5.3439e+00
8.050000e-01 6.104507e+00 2.085941e+07 4.814611e+02 4.958720e-01 2.2549e+52 2.7236e+52 4.2170e+00 5.3361e+00
8.060000e-01 6.122518e+00 2.104583e+07 4.565001e+02 4.958686e-01 2.3677e+52 2.8723e+52 4.2307e+00 5.3309e+00
8.070000e-01 6.150104e+00 2.133030e+07 4.304094e+02 4.958651e-01 2.4618e+52 2.9682e+52 4.2628e+00 5.3424e+00
8.080000e-01 6.185298e+00 2.168838e+07 4.030605e+02 4.958612e-01 2.5120e+52 3.0119e+52 4.2820e+00 5.3905e+00
8.090000e-01 6.222149e+00 2.206844e+07 3.742812e+02 4.958584e-01 2.5295e+52 3.0270e+52 4.3009e+00 5.3798e+00
8.100000e-01 6.505104e+00 2.348788e+07 3.438251e+02 4.958492e-01 2.5353e+52 3.0296e+52 4.3275e+00 5.3973e+00
8.110000e-01 1.010340e+01 1.733770e+08 3.206990e+02 4.957534e-01 2.2106e+52 2.6022e+52 4.1701e+00 5.1880e+00
8.120000e-01 1.082662e+01 2.139254e+08 3.128274e+02 4.956822e-01 2.0350e+52 2.3619e+52 4.0961e+00 5.1084e+00
8.130000e-01 1.152115e+01 3.051064e+08 3.043102e+02 4.959078e-01 2.0245e+52 2.2919e+52 4.0340e+00 5.1354e+00
8.140000e-01 1.167047e+01 3.309352e+08 2.980751e+02 4.957946e-01 2.0768e+52 2.3611e+52 3.9887e+00 5.1702e+00
8.150000e-01 1.187626e+01 3.589561e+08 2.933134e+02 4.951361e-01 2.1831e+52 2.6047e+52 4.0935e+00 5.1608e+00
8.160000e-01 1.207183e+01 3.932275e+08 2.884500e+02 4.946143e-01 2.3540e+52 2.8203e+52 4.0844e+00 5.1445e+00
8.170000e-01 1.210019e+01 3.650498e+08 2.830204e+02 4.922911e-01 2.4746e+52 2.8743e+52 4.0789e+00 5.1454e+00
8.180000e-01 1.195894e+01 3.231011e+08 2.771545e+02 4.899798e-01 2.4303e+52 3.0284e+52 4.0860e+00 5.1029e+00
8.190000e-01 1.270779e+01 4.547115e+08 2.723403e+02 4.882329e-01 2.5314e+52 3.1363e+52 4.0283e+00 5.0438e+00
8.200000e-01 1.266903e+01 4.319094e+08 2.670656e+02 4.874317e-01 2.5723e+52 3.3386e+52 4.0683e+00 5.0246e+00
8.210000e-01 1.248643e+01 3.866018e+08 2.583133e+02 4.868677e-01 2.4717e+52 3.2097e+52 4.1280e+00 5.0345e+00
8.220000e-01 1.296983e+01 4.581384e+08 2.475366e+02 4.848678e-01 2.4776e+52 3.1543e+52 4.1656e+00 5.1218e+00
8.230000e-01 1.354170e+01 5.744491e+08 2.344806e+02 4.835120e-01 2.4694e+52 3.0346e+52 4.1845e+00 5.1728e+00
8.240000e-01 1.395867e+01 6.847629e+08 2.212592e+02 4.822890e-01 2.3954e+52 2.8877e+52 4.1598e+00 5.2216e+00
8.250000e-01 1.443572e+01 8.327414e+08 2.076789e+02 4.812573e-01 2.3235e+52 2.8581e+52 4.1373e+00 5.2647e+00
8.260000e-01 1.491166e+01 9.982504e+08 1.955726e+02 4.800502e-01 2.7207e+52 3.0865e+52 4.1044e+00 5.2550e+00
8.270000e-01 1.537008e+01 1.093726e+09 1.854864e+02 4.773264e-01 2.7479e+52 3.3948e+52 4.1437e+00 5.2112e+00
8.280000e-01 1.562403e+01 1.225127e+09 1.795914e+02 4.767940e-01 2.4325e+52 3.0648e+52 4.2698e+00 5.2389e+00
8.290000e-01 1.620693e+01 1.504387e+09 1.734868e+02 4.727910e-01 2.7430e+52 3.2481e+52 4.3859e+00 5.4033e+00
8.300000e-01 1.576087e+01 1.302276e+09 1.634993e+02 4.700531e-01 2.7552e+52 3.2323e+52 4.4806e+00 5.4310e+00
8.310000e-01 1.780981e+01 2.149661e+09 1.584931e+02 4.620822e-01 3.1481e+52 3.7461e+52 4.4770e+00 5.4303e+00
8.320000e-01 1.703896e+01 1.637868e+09 1.511974e+02 4.535737e-01 3.4875e+52 4.4285e+52 4.5112e+00 5.5975e+00
8.330000e-01 1.818316e+01 2.204718e+09 1.382739e+02 4.509642e-01 3.0921e+52 3.9038e+52 4.3573e+00 5.5413e+00
8.340000e-01 2.017140e+01 2.809186e+09 1.334996e+02 4.354592e-01 2.6435e+52 3.3798e+52 4.2184e+00 5.3441e+00
8.350000e-01 2.067056e+01 2.542355e+09 1.338018e+02 4.108190e-01 2.3661e+52 2.9361e+52 4.1590e+00 5.2808e+00
8.360000e-01 2.049143e+01 2.086269e+09 1.367311e+02 3.913625e-01 2.4469e+52 2.9494e+52 4.1497e+00 5.2421e+00
8.370000e-01 2.312909e+01 2.579143e+09 1.361726e+02 3.880705e-01 2.4472e+52 2.8426e+52 4.1792e+00 5.2464e+00
8.380000e-01 2.494317e+01 2.757940e+09 1.319313e+02 3.837661e-01 2.3444e+52 2.8368e+52 4.1482e+00 5.2217e+00
8.390000e-01 2.567304e+01 2.749869e+09 1.236017e+02 3.661300e-01 2.3246e+52 2.6747e+52 4.2091e+00 5.2513e+00
8.400000e-01 2.852167e+01 3.293620e+09 1.132172e+02 3.445219e-01 2.3445e+52 2.9462e+52 4.2784e+00 5.2228e+00
8.410000e-01 3.207023e+01 4.908135e+09 9.955297e+01 3.237370e-01 2.1414e+52 2.6343e+52 4.5070e+00 5.3327e+00
8.420000e-01 3.814659e+01 8.885372e+09 8.699053e+01 2.892423e-01 1.7892e+52 2.3028e+52 4.8423e+00 5.4700e+00
8.430000e-01 3.801594e+01 1.366525e+10 8.258921e+01 2.406724e-01 1.6323e+52 2.1801e+52 4.9056e+00 5.5220e+00
8.440000e-01 3.523522e+01 1.459832e+10 8.381265e+01 2.112670e-01 1.5326e+52 2.0780e+52 4.7095e+00 5.4142e+00
8.450000e-01 3.236273e+01 1.096705e+10 8.972328e+01 2.102678e-01 1.5905e+52 2.1624e+52 4.4608e+00 5.2998e+00
8.460000e-01 3.082528e+01 9.483492e+09 9.439939e+01 2.098104e-01 1.5631e+52 2.1405e+52 4.3346e+00 5.2246e+00
8.470000e-01 3.012647e+01 8.676843e+09 9.569204e+01 2.104065e-01 1.5410e+52 2.1735e+52 4.2561e+00 5.1937e+00
8.480000e-01 2.930357e+01 9.013011e+09 9.423189e+01 2.092717e-01 1.5779e+52 2.2194e+52 4.2525e+00 5.2130e+00
8.490000e-01 2.951007e+01 9.520745e+09 9.196301e+01 2.072911e-01 1.5942e+52 2.2656e+52 4.2881e+00 5.2671e+00
8.500000e-01 3.079210e+01 1.064784e+10 8.893190e+01 2.063008e-01 1.5545e+52 2.2589e+52 4.3776e+00 5.3324e+00
8.510000e-01 3.240269e+01 1.197491e+10 8.588091e+01 2.053104e-01 1.5205e+52 2.2318e+52 4.5226e+00 5.4175e+00
8.520000e-01 3.372103e+01 1.376736e+10 8.353869e+01 2.025272e-01 1.3764e+52 2.0319e+52 4.6681e+00 5.4757e+00
8.530000e-01 3.488670e+01 1.561835e+10 8.196011e+01 1.989939e-01 1.1777e+52 1.8185e+52 4.8370e+00 5.5476e+00
8.540000e-01 3.640643e+01 1.843196e+10 8.064069e+01 1.939251e-01 1.0786e+52 1.7461e+52 4.9669e+00 5.6138e+00
8.550000e-01 3.638794e+01 2.109659e+10 7.950203e+01 1.844098e-01 1.0550e+52 1.6806e+52 4.9483e+00 5.6225e+00
8.560000e-01 3.670408e+01 2.377969e+10 7.831376e+01 1.755022e-01 1.1131e+52 1.7407e+52 4.9929e+00 5.6961e+00
8.570000e-01 3.592190e+01 2.681813e+10 7.678578e+01 1.662579e-01 1.1732e+52 1.8287e+52 4.9712e+00 5.7119e+00
8.580000e-01 3.589186e+01 3.199867e+10 7.533731e+01 1.559664e-01 1.2297e+52 1.8527e+52 4.9616e+00 5.7382e+00
8.590000e-01 3.552757e+01 3.595102e+10 7.394419e+01 1.458963e-01 1.2461e+52 1.8166e+52 4.8714e+00 5.6858e+00
8.600000e-01 3.615743e+01 4.169229e+10 7.224585e+01 1.364418e-01 1.2498e+52 1.8157e+52 4.8694e+00 5.6580e+00
8.610000e-01 3.811788e+01 5.012431e+10 7.021933e+01 1.294153e-01 1.1712e+52 1.7420e+52 5.0270e+00 5.7607e+00
8.620000e-01 3.929996e+01 5.861719e+10 6.821079e+01 1.235439e-01 1.1518e+52 1.7271e+52 5.1394e+00 5.8690e+00
8.630000e-01 3.902982e+01 6.504881e+10 6.760552e+01 1.192405e-01 1.1774e+52 1.7480e+52 5.1740e+00 5.9269e+00
8.640000e-01 3.750030e+01 6.629272e+10 6.787038e+01 1.154757e-01 1.3509e+52 1.9045e+52 4.9967e+00 5.7843e+00
8.650000e-01 3.715268e+01 7.055686e+10 6.747694e+01 1.117766e-01 1.4221e+52 1.9590e+52 4.9354e+00 5.7410e+00
8.660000e-01 3.646084e+01 7.357278e+10 6.716028e+01 1.081903e-01 1.3976e+52 1.9626e+52 4.8794e+00 5.7286e+00
8.670000e-01 3.682746e+01 7.555820e+10 6.711746e+01 1.062620e-01 1.3712e+52 1.9785e+52 4.8877e+00 5.7543e+00
8.680000e-01 3.597345e+01 7.256105e+10 6.770500e+01 1.058495e-01 1.3708e+52 1.9882e+52 4.8106e+00 5.7216e+00
8.690000e-01 3.438080e+01 6.795203e+10 6.866563e+01 1.064181e-01 1.4118e+52 2.0404e+52 4.7145e+00 5.6658e+00
8.700000e-01 3.404005e+01 6.292339e+10 7.006703e+01 1.077674e-01 1.4044e+52 1.9963e+52 4.6792e+00 5.6145e+00
8.710000e-01 3.295440e+01 5.749593e+10 7.081356e+01 1.084885e-01 1.4248e+52 1.9795e+52 4.5638e+00 5.5428e+00
8.720000e-01 3.344819e+01 5.768133e+10 7.086049e+01 1.090330e-01 1.4478e+52 2.0013e+52 4.6086e+00 5.5758e+00
8.730000e-01 3.412566e+01 5.623212e+10 7.117905e+01 1.095167e-01 1.3947e+52 1.9673e+52 4.6088e+00 5.5689e+00
8.740000e-01 3.395617e+01 5.596861e+10 7.151334e+01 1.103957e-01 1.4044e+52 1.9851e+52 4.6210e+00 5.5898e+00
8.750000e-01 3.358539e+01 5.372218e+10 7.208740e+01 1.111549e-01 1.3867e+52 1.9507e+52 4.5913e+00 5.5631e+00
8.760000e-01 3.292648e+01 5.075022e+10 7.265640e+01 1.116524e-01 1.3356e+52 1.9032e+52 4.5289e+00 5.5051e+00
8.770000e-01 3.233654e+01 4.982228e+10 7.292276e+01 1.112006e-01 1.3091e+52 1.8698e+52 4.5214e+00 5.4867e+00
8.780000e-01 3.276646e+01 5.069289e+10 7.318935e+01 1.112262e-01 1.2855e+52 1.8652e+52 4.5732e+00 5.5058e+00
8.790000e-01 3.364555e+01 5.060997e+10 7.342044e+01 1.114420e-01 1.2897e+52 1.9246e+52 4.5938e+00 5.5031e+00
8.800000e-01 3.399289e+01 5.005055e+10 7.367051e+01 1.115094e-01 1.3628e+52 2.0028e+52 4.5970e+00 5.5109e+00
8.810000e-01 3.341537e+01 4.968895e+10 7.408808e+01 1.117951e-01 1.3975e+52 1.9992e+52 4.5692e+00 5.5130e+00
8.820000e-01 3.299369e+01 4.837335e+10 7.464017e+01 1.127171e-01 1.3736e+52 1.9709e+52 4.5434e+00 5.4926e+00
8.830000e-01 3.294159e+01 4.724808e+10 7.439100e+01 1.133413e-01 1.4049e+52 2.0229e+52 4.5368e+00 5.4908e+00
8.840000e-01 3.367325e+01 4.903582e+10 7.384980e+01 1.129090e-01 1.3230e+52 1.9597e+52 4.6035e+00 5.4938e+00
8.850000e-01 3.326325e+01 5.063443e+10 7.313534e+01 1.116208e-01 1.2383e+52 1.8836e+52 4.5734e+00 5.4651e+00
8.860000e-01 3.330878e+01 5.354548e+10 7.279757e+01 1.095568e-01 1.2001e+52 1.8259e+52 4.5685e+00 5.4555e+00
8.870000e-01 3.301044e+01 5.393809e+10 7.297467e+01 1.073409e-01 1.1793e+52 1.7780e+52 4.5105e+00 5.4236e+00
8.880000e-01 3.214517e+01 5.302041e+10 7.308733e+01 1.051148e-01 1.1882e+52 1.8158e+52 4.4020e+00 5.3950e+00
8.890000e-01 3.226968e+01 5.534582e+10 7.275933e+01 1.031166e-01 1.2206e+52 1.8686e+52 4.4151e+00 5.4161e+00
8.900000e-01 3.326675e+01 5.864452e+10 7.252163e+01 1.013961e-01 1.2046e+52 1.8080e+52 4.4982e+00 5.4262e+00
8.910000e-01 3.276722e+01 5.741465e+10 7.237802e+01 1.010837e-01 1.2487e+52 1.8277e+52 4.4496e+00 5.4127e+00
8.920000e-01 3.261597e+01 5.689600e+10 7.252630e+01 1.007736e-01 1.2281e+52 1.8368e+52 4.4297e+00 5.3986e+00
8.930000e-01 3.236605e+01 5.548952e+10 7.332438e+01 1.007467e-01 1.1467e+52 1.7534e+52 4.4039e+00 5.3525e+00
8.940000e-01 3.145985e+01 5.148498e+10 7.352034e+01 1.014021e-01 1.1551e+52 1.7759e+52 4.2923e+00 5.3291e+00
8.950000e-01 3.174641e+01 5.184062e+10 7.342823e+01 1.017787e-01 1.1351e+52 1.7574e+52 4.3228e+00 5.3342e+00
8.960000e-01 3.150354e+01 5.072888e+10 7.353995e+01 1.019642e-01 1.1398e+52 1.7529e+52 4.3008e+00 5.3285e+00
8.970000e-01 3.134964e+01 5.064713e+10 7.397663e+01 1.025521e-01 1.1215e+52 1.7340e+52 4.3177e+00 5.3291e+00
8.980000e-01 3.074412e+01 5.012792e+10 7.398743e+01 1.024479e-01 1.1328e+52 1.7888e+52 4.2796e+00 5.3232e+00
8.990000e-01 3.153774e+01 5.332813e+10 7.381740e+01 1.020762e-01 1.1392e+52 1.7711e+52 4.3650e+00 5.3399e+00
9.000000e-01 3.129323e+01 5.224441e+10 7.386550e+01 1.023017e-01 1.1370e+52 1.7548e+52 4.3289e+00 5.3248e+00
9.010000e-01 3.138417e+01 5.178417e+10 7.397060e+01 1.022887e-01 1.1231e+52 1.7404e+52 4.3253e+00 5.3271e+00
9.020000e-01 3.132688e+01 5.097599e+10 7.422797e+01 1.022923e-01 1.1171e+52 1.7483e+52 4.3065e+00 5.3255e+00
9.030000e-01 3.103263e+01 4.948801e+10 7.470164e+01 1.026441e-01 1.1080e+52 1.7407e+52 4.2774e+00 5.3195e+00
9.040000e-01 3.064193e+01 4.767016e+10 7.513508e+01 1.030105e-01 1.1089e+52 1.7244e+52 4.2383e+00 5.2978e+00
9.050000e-01 3.006313e+01 4.552524e+10 7.552742e+01 1.033466e-01 1.1163e+52 1.7225e+52 4.1798e+00 5.2648e+00
9.060000e-01 2.996226e+01 4.424134e+10 7.615907e+01 1.035849e-01 1.0878e+52 1.6781e+52 4.1542e+00 5.2216e+00
9.070000e-01 2.928854e+01 4.159756e+10 7.675535e+01 1.037972e-01 1.0764e+52 1.6695e+52 4.0937e+00 5.2094e+00
9.080000e-01 2.909576e+01 4.063765e+10 7.738332e+01 1.034961e-01 1.0063e+52 1.6158e+52 4.0516e+00 5.1856e+00
9.090000e-01 2.901516e+01 3.980590e+10 7.749427e+01 1.040980e-01 1.0277e+52 1.6293e+52 4.0413e+00 5.2020e+00
9.100000e-01 2.890447e+01 3.901959e+10 7.785485e+01 1.046219e-01 1.0467e+52 1.6469e+52 4.0490e+00 5.1989e+00
9.110000e-01 2.847945e+01 3.744742e+10 7.835334e+01 1.049501e-01 1.0268e+52 1.6572e+52 4.0257e+00 5.1985e+00
9.120000e-01 2.871650e+01 3.783724e+10 7.811911e+01 1.057725e-01 1.0618e+52 1.6856e+52 4.0684e+00 5.2174e+00
9.130000e-01 2.914691e+01 3.900376e+10 7.759481e+01 1.058329e-01 1.0727e+52 1.6684e+52 4.1043e+00 5.2144e+00
9.140000e-01 2.925880e+01 3.904058e+10 7.716635e+01 1.057658e-01 1.0474e+52 1.6369e+52 4.0984e+00 5.2007e+00
9.150000e-01 2.952324e+01 3.933533e+10 7.680057e+01 1.058589e-01 1.0857e+52 1.6326e+52 4.1360e+00 5.2091e+00
9.160000e-01 2.882295e+01 3.717323e+10 7.763271e+01 1.053057e-01 9.7821e+51 1.5622e+52 4.0202e+00 5.1506e+00
9.170000e-01 2.872470e+01 3.624593e+10 7.837493e+01 1.065282e-01 9.7594e+51 1.5427e+52 4.0077e+00 5.1716e+00
9.180000e-01 2.840509e+01 3.516439e+10 7.942628e+01 1.065925e-01 9.3583e+51 1.5412e+52 3.9881e+00 5.1743e+00
