# time[s], T9[GK], density[g/cm^3], R[km], Ye, Le[erg/s], Lebar[erg/s], Te[MeV], Tebar[MeV]

0.0000e+00 1.0032e+01 7.1548e+07 3.0114e+02 0.24991  3.2330E+52  4.2579E+52  3.5225E+00  4.9096E+00
1.8800e-04 9.9954e+00 7.0386e+07 3.0251e+02 0.25015  3.2322E+52  4.2567E+52  3.5227E+00  4.9099E+00
3.7600e-04 9.9588e+00 6.9217e+07 3.0388e+02 0.25040  3.2313E+52  4.2554E+52  3.5230E+00  4.9102E+00
5.6300e-04 9.9228e+00 6.8042e+07 3.0527e+02 0.25063  3.2463E+52  4.2733E+52  3.5253E+00  4.9139E+00
7.5100e-04 9.8874e+00 6.6872e+07 3.0667e+02 0.25087  3.2456E+52  4.2722E+52  3.5255E+00  4.9142E+00
9.3900e-04 9.8503e+00 6.5683e+07 3.0808e+02 0.25111  3.2453E+52  4.2718E+52  3.5257E+00  4.9146E+00
1.1270e-03 9.8136e+00 6.4504e+07 3.0950e+02 0.25134  3.2451E+52  4.2716E+52  3.5259E+00  4.9148E+00
1.3150e-03 9.7777e+00 6.3329e+07 3.1093e+02 0.25158  3.2450E+52  4.2715E+52  3.5260E+00  4.9150E+00
1.5030e-03 9.7424e+00 6.2143e+07 3.1237e+02 0.25181  3.2449E+52  4.2716E+52  3.5261E+00  4.9152E+00
1.6910e-03 9.7077e+00 6.0966e+07 3.1383e+02 0.25201  3.2354E+52  4.2584E+52  3.5271E+00  4.9167E+00
1.8790e-03 9.6689e+00 5.9696e+07 3.1530e+02 0.25224  3.2360E+52  4.2594E+52  3.5272E+00  4.9169E+00
2.0670e-03 9.6278e+00 5.8697e+07 3.1678e+02 0.25246  3.2367E+52  4.2607E+52  3.5273E+00  4.9171E+00
2.2550e-03 9.5798e+00 5.7801e+07 3.1828e+02 0.25267  3.2379E+52  4.2625E+52  3.5274E+00  4.9173E+00
2.4430e-03 9.5350e+00 5.6943e+07 3.1979e+02 0.25289  3.2302E+52  4.2531E+52  3.5281E+00  4.9186E+00
2.6310e-03 9.4919e+00 5.6105e+07 3.2130e+02 0.25310  3.2312E+52  4.2548E+52  3.5281E+00  4.9188E+00
2.8190e-03 9.4498e+00 5.5281e+07 3.2283e+02 0.25330  3.2330E+52  4.2573E+52  3.5282E+00  4.9189E+00
3.0070e-03 9.4061e+00 5.4459e+07 3.2437e+02 0.25351  3.2348E+52  4.2600E+52  3.5282E+00  4.9190E+00
3.1950e-03 9.3636e+00 5.3638e+07 3.2591e+02 0.25372  3.2368E+52  4.2628E+52  3.5282E+00  4.9192E+00
3.3830e-03 9.3220e+00 5.2824e+07 3.2746e+02 0.25393  3.2387E+52  4.2657E+52  3.5283E+00  4.9193E+00
3.5700e-03 9.2808e+00 5.2001e+07 3.2902e+02 0.25413  3.2279E+52  4.2540E+52  3.5288E+00  4.9202E+00
3.7580e-03 9.2403e+00 5.1177e+07 3.3059e+02 0.25432  3.2216E+52  4.2462E+52  3.5294E+00  4.9216E+00
3.9460e-03 9.2001e+00 5.0362e+07 3.3217e+02 0.25451  3.2241E+52  4.2497E+52  3.5294E+00  4.9218E+00
4.1340e-03 9.1583e+00 4.9537e+07 3.3376e+02 0.25472  3.2268E+52  4.2534E+52  3.5294E+00  4.9219E+00
4.3220e-03 9.1177e+00 4.8723e+07 3.3535e+02 0.25491  3.2294E+52  4.2571E+52  3.5294E+00  4.9219E+00
4.5100e-03 9.0781e+00 4.7910e+07 3.3696e+02 0.25510  3.2133E+52  4.2363E+52  3.5290E+00  4.9211E+00
4.6980e-03 9.0390e+00 4.7091e+07 3.3857e+02 0.25529  3.2081E+52  4.2291E+52  3.5295E+00  4.9222E+00
4.8860e-03 9.0007e+00 4.6274e+07 3.4019e+02 0.25548  3.2114E+52  4.2336E+52  3.5296E+00  4.9222E+00
5.0740e-03 8.9611e+00 4.5458e+07 3.4182e+02 0.25567  3.2150E+52  4.2383E+52  3.5296E+00  4.9223E+00
5.2620e-03 8.9220e+00 4.4646e+07 3.4347e+02 0.25585  3.2189E+52  4.2436E+52  3.5296E+00  4.9224E+00
5.4500e-03 8.8841e+00 4.3841e+07 3.4512e+02 0.25603  3.2061E+52  4.2246E+52  3.5317E+00  4.9242E+00
5.6380e-03 8.8467e+00 4.3030e+07 3.4677e+02 0.25621  3.2100E+52  4.2303E+52  3.5317E+00  4.9243E+00
5.8250e-03 8.8101e+00 4.2218e+07 3.4845e+02 0.25638  3.2145E+52  4.2364E+52  3.5317E+00  4.9243E+00
6.0130e-03 8.7729e+00 4.1411e+07 3.5013e+02 0.25657  3.2190E+52  4.2424E+52  3.5317E+00  4.9244E+00
6.2010e-03 8.7364e+00 4.0642e+07 3.5182e+02 0.25674  3.1976E+52  4.2143E+52  3.5319E+00  4.9246E+00
6.3890e-03 8.6998e+00 3.9890e+07 3.5352e+02 0.25691  3.2023E+52  4.2207E+52  3.5319E+00  4.9247E+00
6.5770e-03 8.6627e+00 3.9146e+07 3.5524e+02 0.25708  3.2074E+52  4.2275E+52  3.5319E+00  4.9246E+00
6.7650e-03 8.6262e+00 3.8439e+07 3.5696e+02 0.25723  3.2124E+52  4.2344E+52  3.5319E+00  4.9247E+00
6.9530e-03 8.5882e+00 3.7754e+07 3.5870e+02 0.25741  3.2101E+52  4.2313E+52  3.5327E+00  4.9260E+00
7.1410e-03 8.5502e+00 3.7094e+07 3.6044e+02 0.25757  3.2155E+52  4.2388E+52  3.5327E+00  4.9262E+00
