  -1.9351255031320694E+01  1.0000000013941560E+12 -1.5000003182874201E-03 -2.0912360334726650E+00
  -1.9120996521660309E+01  7.9432823611843982E+11 -1.5000003188288941E-03 -2.0912367205854965E+00
  -1.8890738011906453E+01  6.3095734587435071E+11 -1.5000003195105704E-03 -2.0912357887576256E+00
  -1.8660479502034928E+01  5.0118723502142859E+11 -1.5000003203687487E-03 -2.0912363121209099E+00
  -1.8430220992015268E+01  3.9810717194765375E+11 -1.5000003214491319E-03 -2.0912361017882271E+00
  -1.8199962481809116E+01  3.1622776741099445E+11 -1.5000003228092535E-03 -2.0912360856713161E+00
  -1.7969703971368187E+01  2.5118864454511526E+11 -1.5000003245215455E-03 -2.0912360370231360E+00
  -1.7739445460631686E+01  1.9952623289104535E+11 -1.5000003266771923E-03 -2.0912360609197447E+00
  -1.7509186949523077E+01  1.5848932064026779E+11 -1.5000003293909917E-03 -2.0912360588275569E+00
  -1.7278928437946028E+01  1.2589254257357359E+11 -1.5000003328074624E-03 -2.0912360581630245E+00
  -1.7048669925779237E+01  1.0000000139415694E+11 -1.5000003371085447E-03 -2.0912360780337984E+00
  -1.6818411412870006E+01  7.9432824866585098E+10 -1.5000003425232865E-03 -2.0912360372579739E+00
  -1.6588152899026099E+01  6.3095735842176270E+10 -1.5000003493400420E-03 -2.0912360484570751E+00
  -1.6357894384005501E+01  5.0118724756883980E+10 -1.5000003579218289E-03 -2.0912360270004022E+00
  -1.6127635867503550E+01  3.9810718449506645E+10 -1.5000003687256588E-03 -2.0912360127423466E+00
  -1.5897377349136670E+01  3.1622777995840714E+10 -1.5000003823268742E-03 -2.0912360394207692E+00
  -1.5667118828421993E+01  2.5118865709252728E+10 -1.5000003994497908E-03 -2.0912360161321342E+00
  -1.5436860304751610E+01  1.9952624543845718E+10 -1.5000004210062642E-03 -2.0912360339325451E+00
  -1.5206601777360213E+01  1.5848933318768013E+10 -1.5000004481442576E-03 -2.0912360176212013E+00
  -1.4976343245284344E+01  1.2589255512098572E+10 -1.5000004823089662E-03 -2.0912360021624474E+00
  -1.4746084707311070E+01  1.0000001394156919E+10 -1.5000005253197868E-03 -2.0912359871163479E+00
  -1.4515826161913401E+01  7.9432837413997259E+09 -1.5000005794672004E-03 -2.0912359857068363E+00
  -1.4285567607168973E+01  6.3095748389588394E+09 -1.5000006476347558E-03 -2.0912359678112442E+00
  -1.4055309040657672E+01  5.0118737304296112E+09 -1.5000007334526227E-03 -2.0912359494770563E+00
  -1.3825050459332761E+01  3.9810730996918545E+09 -1.5000008414909141E-03 -2.0912359266426077E+00
  -1.3594791859358617E+01  3.1622790543252540E+09 -1.5000009775030636E-03 -2.0912358969307996E+00
  -1.3364533235906478E+01  2.5118878256664414E+09 -1.5000011487322116E-03 -2.0912358607769272E+00
  -1.3134274582897298E+01  1.9952637091257267E+09 -1.5000013642969341E-03 -2.0912358106601880E+00
  -1.2904015892678004E+01  1.5848945866179354E+09 -1.5000016356768327E-03 -2.0912357530834624E+00
  -1.2673757155613961E+01  1.2589268059509666E+09 -1.5000019773238741E-03 -2.0912356761078681E+00
  -1.2443498359575869E+01  1.0000013941567669E+09 -1.5000024074319968E-03 -2.0912355824561657E+00
  -1.2213239489293857E+01  7.9432962888101041E+08 -1.5000029489060159E-03 -2.0912354625016807E+00
  -1.1982980525544287E+01  6.3095873863687241E+08 -1.5000036305813742E-03 -2.0912353109745854E+00
  -1.1752721444126038E+01  5.0118862778388572E+08 -1.5000044887597346E-03 -2.0912351221566010E+00
  -1.1522462214571727E+01  3.9810856471003181E+08 -1.5000055691421709E-03 -2.0912348833138426E+00
  -1.1292202798525173E+01  3.1622916017327255E+08 -1.5000069292628987E-03 -2.0912345829052086E+00
  -1.1061943147698834E+01  2.5119003730726680E+08 -1.5000086415531677E-03 -2.0912342050660886E+00
  -1.0831683201302310E+01  1.9952762565303832E+08 -1.5000107971984593E-03 -2.0912337290733283E+00
  -1.0601422882805050E+01  1.5849071340206128E+08 -1.5000135109943999E-03 -2.0912331295981157E+00
  -1.0371162095860864E+01  1.2589393533511537E+08 -1.5000169274599639E-03 -2.0912323752141528E+00
  -1.0140900719177150E+01  1.0000139415538216E+08 -1.5000212285335296E-03 -2.0912314253390827E+00
  -9.9106386000556963E+00  7.9434217627411634E+07 -1.5000266432615608E-03 -2.0912302296167149E+00
  -9.6803755462610503E+00  6.3097128602501027E+07 -1.5000334599958749E-03 -2.0912287242561618E+00
  -9.4501113157834311E+00  5.0120117516577341E+07 -1.5000420417489520E-03 -2.0912268290211875E+00
  -9.2198456039510681E+00  3.9812111208404459E+07 -1.5000528455249194E-03 -2.0912244431443789E+00
  -8.9895780272057380E+00  3.1624170753737327E+07 -1.5000664466555014E-03 -2.0912214395313686E+00
  -8.7593081026774939E+00  2.5120258465888832E+07 -1.5000835694366429E-03 -2.0912176581650828E+00
  -8.5290352224711015E+00  1.9954017298895072E+07 -1.5001051256969186E-03 -2.0912128977720505E+00
  -8.2987586212949527E+00  1.5850326071819702E+07 -1.5001322633509887E-03 -2.0912069048371174E+00
  -8.0684773357090318E+00  1.2590648262635339E+07 -1.5001664275227328E-03 -2.0911993602166024E+00
  -7.8381901528221665E+00  1.0001394141527623E+07 -1.5002094374914547E-03 -2.0911898621995784E+00
  -7.6078955457074482E+00  7.9446764847846329E+06 -1.5002635835562749E-03 -2.0911779050510360E+00
  -7.3775915920977804E+00  6.3109675773259830E+06 -1.5003317489730044E-03 -2.0911628521338419E+00
