sb103   7.84058e+10
sb104   4.29655e+05
sb105   1.37511e+10
sb106   1.03780e+17
te103   8.30806e+02
te104   9.81604e-10
te105   1.53675e-07
te106   6.43101e-05
te107   1.10729e-03
te108   3.72752e+00
te109   8.51780e+01
te110   1.26557e+06
te111   8.33972e+07
te112   1.13254e+13
te113   1.39923e+16
 i104   2.21149e+00
 i105   1.31835e-08
 i106   4.53677e-09
 i107   1.85705e-04
 i108   1.07368e-02
 i109   2.25448e+00
 i110   7.83583e+00
 i111   2.49970e+03
 i112   2.21190e+05
 i113   1.02269e+08
 i114   5.17198e+12
 i115   1.69355e+15
xe105   2.74213e-02
xe106   2.04668e-10
xe107   1.65928e-09
xe108   2.08099e-01
xe109   6.94213e-02
xe110   1.28869e-01
xe111   7.76826e-01
xe112   3.24139e+02
xe113   1.60026e+04
xe114   3.14702e+07
xe115   3.43153e+09
xe116   4.76220e+14
cs106   6.01705e-01
cs107   6.33969e-07
cs108   2.75506e-07
cs109   2.64810e-06
cs110   2.14419e-02
cs111   6.13860e-05
cs112   1.23865e+00
cs113   2.10108e+03
cs114   5.39202e+03
cs115   2.65021e+08
cs116   3.23880e+10
cs117   2.13246e+15
cs118   2.21053e+18
ba108   1.88592e-07
ba109   5.71214e-07
ba110   3.56427e-05
ba111   1.04592e-02
ba112   5.98322e-02
ba113   1.85141e+01
ba114   2.97728e+02
ba115   7.35927e+06
ba116   3.20932e+06
ba117   2.39165e+13
ba118   8.33478e+13
la110   4.68229e-04
la111   1.66563e-02
la112   3.95920e-02
la113   7.23029e+01
la114   2.48812e+01
la115   5.11108e+03
la116   1.87338e+05
la117   9.34565e+09
la118   2.74699e+11
la119   5.46388e+15
ce113   4.46871e-01
ce114   3.64428e-01
ce115   2.56391e+01
ce116   2.90233e-02
ce117   2.75055e+03
ce118   1.90943e+08
ce119   6.90168e+11
ce120   2.26399e+13
ce121   1.05928e+15
ce122   1.48663e+18
ce123   9.13637e+19
pr115   1.04897e+04
pr116   1.22132e+08
pr117   5.58207e+11
pr118   2.12659e+17
pr121   9.31207e+14
pr122   1.07451e+17
pr123   8.32790e+18
pr124   3.50777e+19
nd118   2.47352e+15
nd119   3.56482e+19
nd122   1.13560e+18
nd124   3.67496e+11
nd125   5.47510e+12
nd126   2.92316e+14
nd127   6.48114e+16
nd128   3.16084e+18
pm120   6.96193e+15
pm121   2.62657e+17
pm122   1.21611e+16
pm123   1.55069e+13
pm124   1.40586e+11
pm125   1.62031e+18
pm126   8.53281e+11
pm127   5.79620e+12
pm128   2.39852e+14
pm129   1.76157e+16
pm130   1.06025e+18
pm131   6.09675e+19
pm145   2.14370e+17
sm123   3.01705e+09
sm124   2.30713e+06
sm125   1.70348e+05
sm126   4.68086e+04
sm127   7.45243e+05
sm128   5.11257e+10
sm129   2.46189e+11
sm130   1.18249e+12
sm131   6.38602e+12
sm132   1.72361e+16
sm133   1.29823e+14
sm134   2.69132e+14
sm135   2.73994e+16
