# time[s], T9[GK], density[g/cm^3], R[km], Ye

7.6110e-10 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.2632e-09 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.2673e-09 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
4.2755e-09 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
8.2920e-09 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.6325e-08 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
3.2391e-08 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
6.4523e-08 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.2879e-07 7.4244e+00 8.2007e+07 4.8570e+02 0.18818
2.5731e-07 7.4244e+00 8.2005e+07 4.8570e+02 0.18818
5.1437e-07 7.4243e+00 8.2002e+07 4.8571e+02 0.18818
1.0285e-06 7.4241e+00 8.1995e+07 4.8572e+02 0.18818
2.0567e-06 7.4237e+00 8.1982e+07 4.8575e+02 0.18818
4.1131e-06 7.4229e+00 8.1956e+07 4.8580e+02 0.18818
8.2260e-06 7.4213e+00 8.1905e+07 4.8590e+02 0.18818
1.6452e-05 7.4182e+00 8.1801e+07 4.8611e+02 0.18818
3.2903e-05 7.4120e+00 8.1594e+07 4.8652e+02 0.18818
6.0905e-05 7.4013e+00 8.1243e+07 4.8722e+02 0.18818
8.8244e-05 7.3910e+00 8.0903e+07 4.8790e+02 0.18818
1.1574e-04 7.3806e+00 8.0563e+07 4.8858e+02 0.18818
1.4315e-04 7.3703e+00 8.0225e+07 4.8927e+02 0.18819
1.7050e-04 7.3600e+00 7.9891e+07 4.8995e+02 0.18819
1.9777e-04 7.3498e+00 7.9559e+07 4.9063e+02 0.18819
2.2496e-04 7.3397e+00 7.9230e+07 4.9131e+02 0.18819
2.5208e-04 7.3296e+00 7.8903e+07 4.9199e+02 0.18819
2.7912e-04 7.3195e+00 7.8580e+07 4.9266e+02 0.18819
3.0608e-04 7.3095e+00 7.8258e+07 4.9333e+02 0.18819
3.3297e-04 7.2996e+00 7.7940e+07 4.9400e+02 0.18819
3.5977e-04 7.2898e+00 7.7624e+07 4.9467e+02 0.18819
3.8650e-04 7.2799e+00 7.7311e+07 4.9534e+02 0.18819
4.1403e-04 7.2699e+00 7.6991e+07 4.9603e+02 0.18819
4.4142e-04 7.2599e+00 7.6673e+07 4.9671e+02 0.18819
4.6875e-04 7.2499e+00 7.6358e+07 4.9739e+02 0.18819
4.9599e-04 7.2400e+00 7.6046e+07 4.9807e+02 0.18820
5.2316e-04 7.2302e+00 7.5737e+07 4.9875e+02 0.18820
5.5024e-04 7.2204e+00 7.5429e+07 4.9943e+02 0.18820
5.7726e-04 7.2107e+00 7.5125e+07 5.0010e+02 0.18820
6.0420e-04 7.2010e+00 7.4823e+07 5.0077e+02 0.18820
6.3106e-04 7.1913e+00 7.4523e+07 5.0144e+02 0.18820
6.5785e-04 7.1818e+00 7.4226e+07 5.0211e+02 0.18820
6.8457e-04 7.1723e+00 7.3931e+07 5.0278e+02 0.18820
7.1123e-04 7.1628e+00 7.3638e+07 5.0344e+02 0.18820
7.3891e-04 7.1530e+00 7.3336e+07 5.0413e+02 0.18820
7.6645e-04 7.1432e+00 7.3037e+07 5.0482e+02 0.18820
7.9389e-04 7.1336e+00 7.2741e+07 5.0550e+02 0.18820
8.2115e-04 7.1240e+00 7.2448e+07 5.0618e+02 0.18820
8.4825e-04 7.1145e+00 7.2158e+07 5.0686e+02 0.18820
8.7519e-04 7.1050e+00 7.1872e+07 5.0753e+02 0.18820
9.0197e-04 7.0957e+00 7.1589e+07 5.0820e+02 0.18820
9.3043e-04 7.0858e+00 7.1290e+07 5.0891e+02 0.18821
9.5870e-04 7.0760e+00 7.0994e+07 5.0962e+02 0.18821
9.8733e-04 7.0661e+00 7.0696e+07 5.1033e+02 0.18821
1.0158e-03 7.0563e+00 7.0402e+07 5.1104e+02 0.18821
1.0441e-03 7.0465e+00 7.0111e+07 5.1175e+02 0.18821
1.0723e-03 7.0369e+00 6.9823e+07 5.1245e+02 0.18821
1.1003e-03 7.0273e+00 6.9537e+07 5.1315e+02 0.18821
1.1282e-03 7.0178e+00 6.9256e+07 5.1384e+02 0.18821
1.1558e-03 7.0083e+00 6.8977e+07 5.1454e+02 0.18821
1.1849e-03 6.9985e+00 6.8686e+07 5.1526e+02 0.18821
1.2137e-03 6.9887e+00 6.8400e+07 5.1598e+02 0.18821
1.2422e-03 6.9791e+00 6.8118e+07 5.1669e+02 0.18821
1.2705e-03 6.9696e+00 6.7840e+07 5.1740e+02 0.18821
1.2986e-03 6.9601e+00 6.7564e+07 5.1810e+02 0.18821
1.3266e-03 6.9508e+00 6.7291e+07 5.1880e+02 0.18821
1.3545e-03 6.9415e+00 6.7022e+07 5.1949e+02 0.18821
1.3822e-03 6.9323e+00 6.6755e+07 5.2018e+02 0.18821
1.4097e-03 6.9231e+00 6.6491e+07 5.2087e+02 0.18821
1.4371e-03 6.9140e+00 6.6230e+07 5.2155e+02 0.18821
1.4644e-03 6.9050e+00 6.5971e+07 5.2223e+02 0.18822
1.4915e-03 6.8961e+00 6.5715e+07 5.2291e+02 0.18822
1.5186e-03 6.8872e+00 6.5462e+07 5.2359e+02 0.18822
1.5454e-03 6.8784e+00 6.5211e+07 5.2426e+02 0.18822
1.5722e-03 6.8696e+00 6.4963e+07 5.2492e+02 0.18822
1.5988e-03 6.8610e+00 6.4716e+07 5.2559e+02 0.18822
1.6254e-03 6.8523e+00 6.4473e+07 5.2625e+02 0.18822
1.6518e-03 6.8438e+00 6.4231e+07 5.2691e+02 0.18822
1.6781e-03 6.8353e+00 6.3992e+07 5.2756e+02 0.18822
1.7042e-03 6.8268e+00 6.3755e+07 5.2822e+02 0.18822
1.7303e-03 6.8184e+00 6.3520e+07 5.2887e+02 0.18822
1.7563e-03 6.8101e+00 6.3287e+07 5.2952e+02 0.18822
1.7822e-03 6.8018e+00 6.3056e+07 5.3016e+02 0.18822
1.8079e-03 6.7935e+00 6.2827e+07 5.3081e+02 0.18822
1.8336e-03 6.7853e+00 6.2600e+07 5.3145e+02 0.18822
1.8592e-03 6.7772e+00 6.2375e+07 5.3208e+02 0.18822
1.8875e-03 6.7682e+00 6.2127e+07 5.3279e+02 0.18822
1.9155e-03 6.7593e+00 6.1883e+07 5.3349e+02 0.18823
1.9435e-03 6.7505e+00 6.1641e+07 5.3419e+02 0.18823
1.9713e-03 6.7418e+00 6.1402e+07 5.3488e+02 0.18823
1.9989e-03 6.7331e+00 6.1165e+07 5.3557e+02 0.18823
2.0264e-03 6.7245e+00 6.0930e+07 5.3626e+02 0.18823
2.0538e-03 6.7159e+00 6.0698e+07 5.3694e+02 0.18823
2.0811e-03 6.7074e+00 6.0468e+07 5.3762e+02 0.18823
2.1082e-03 6.6990e+00 6.0240e+07 5.3830e+02 0.18823
2.1352e-03 6.6906e+00 6.0014e+07 5.3897e+02 0.18823
2.1621e-03 6.6823e+00 5.9790e+07 5.3964e+02 0.18823
2.1889e-03 6.6740e+00 5.9569e+07 5.4031e+02 0.18823
2.2156e-03 6.6658e+00 5.9350e+07 5.4098e+02 0.18823
2.2421e-03 6.6576e+00 5.9132e+07 5.4164e+02 0.18823
2.2686e-03 6.6496e+00 5.8917e+07 5.4230e+02 0.18823
2.2970e-03 6.6409e+00 5.8686e+07 5.4301e+02 0.18823
2.3253e-03 6.6322e+00 5.8458e+07 5.4371e+02 0.18823
2.3534e-03 6.6237e+00 5.8232e+07 5.4442e+02 0.18823
2.3817e-03 6.6151e+00 5.8006e+07 5.4512e+02 0.18823
2.4101e-03 6.6065e+00 5.7780e+07 5.4583e+02 0.18823
2.4385e-03 6.5980e+00 5.7556e+07 5.4654e+02 0.18823
2.4667e-03 6.5895e+00 5.7334e+07 5.4724e+02 0.18824
2.4949e-03 6.5810e+00 5.7114e+07 5.4795e+02 0.18824
2.5229e-03 6.5726e+00 5.6895e+07 5.4865e+02 0.18824
2.5509e-03 6.5643e+00 5.6679e+07 5.4934e+02 0.18824
2.5788e-03 6.5560e+00 5.6464e+07 5.5004e+02 0.18824
2.6066e-03 6.5477e+00 5.6251e+07 5.5073e+02 0.18824
2.6343e-03 6.5395e+00 5.6040e+07 5.5142e+02 0.18824
2.6619e-03 6.5314e+00 5.5830e+07 5.5211e+02 0.18824
2.6894e-03 6.5232e+00 5.5623e+07 5.5280e+02 0.18824
2.7168e-03 6.5152e+00 5.5416e+07 5.5348e+02 0.18824
2.7442e-03 6.5072e+00 5.5212e+07 5.5417e+02 0.18824
2.7715e-03 6.4992e+00 5.5009e+07 5.5485e+02 0.18824
2.7987e-03 6.4912e+00 5.4808e+07 5.5552e+02 0.18824
2.8258e-03 6.4833e+00 5.4608e+07 5.5620e+02 0.18824
2.8528e-03 6.4755e+00 5.4410e+07 5.5688e+02 0.18824
2.8798e-03 6.4677e+00 5.4213e+07 5.5755e+02 0.18824
2.9067e-03 6.4599e+00 5.4018e+07 5.5822e+02 0.18824
2.9335e-03 6.4522e+00 5.3824e+07 5.5889e+02 0.18824
2.9603e-03 6.4445e+00 5.3631e+07 5.5956e+02 0.18824
2.9869e-03 6.4368e+00 5.3440e+07 5.6022e+02 0.18824
3.0135e-03 6.4292e+00 5.3251e+07 5.6089e+02 0.18824
3.0401e-03 6.4216e+00 5.3063e+07 5.6155e+02 0.18824
3.0666e-03 6.4141e+00 5.2876e+07 5.6221e+02 0.18825
3.0930e-03 6.4065e+00 5.2690e+07 5.6287e+02 0.18825
3.1221e-03 6.3983e+00 5.2487e+07 5.6359e+02 0.18825
3.1509e-03 6.3901e+00 5.2287e+07 5.6431e+02 0.18825
