# time[s], T9[GK], density[g/cm^3], R[km], Ye, Le[erg/s], Lebar[erg/s], Te[MeV], Tebar[Mev]
# Nr: 138193
4.000000e-01 2.569200e+00 8.237106e+05 5.608195e+03 4.980000e-01  1.2341e+52  9.6598e+46  3.1549e+00  1.9669e+00
4.020000e-01 2.569139e+00 8.236450e+05 5.606835e+03 4.980000e-01  1.3948e+52  9.8928e+46  3.1979e+00  1.9845e+00
4.040000e-01 2.569102e+00 8.236050e+05 5.605466e+03 4.980000e-01  1.5985e+52  1.0189e+47  3.2375e+00  2.0039e+00
4.060000e-01 2.569089e+00 8.235915e+05 5.604090e+03 4.980000e-01  1.8417e+52  1.0603e+47  3.2775e+00  2.0194e+00
4.080000e-01 2.569090e+00 8.235932e+05 5.602707e+03 4.980000e-01  2.1436e+52  1.0888e+47  3.3151e+00  2.0444e+00
4.100000e-01 2.569112e+00 8.236192e+05 5.601317e+03 4.980000e-01  2.5337e+52  1.1348e+47  3.3490e+00  2.0641e+00
4.120000e-01 2.569169e+00 8.236831e+05 5.599920e+03 4.980000e-01  2.9494e+52  1.1683e+47  3.3970e+00  2.0889e+00
4.140000e-01 2.569259e+00 8.237835e+05 5.598517e+03 4.980000e-01  3.5716e+52  1.2076e+47  3.4417e+00  2.1157e+00
4.160000e-01 2.569382e+00 8.239197e+05 5.597109e+03 4.980000e-01  4.5151e+52  1.2422e+47  3.4822e+00  2.1481e+00
4.180000e-01 2.569536e+00 8.240909e+05 5.595697e+03 4.980000e-01  5.7224e+52  1.2820e+47  3.5287e+00  2.1815e+00
4.200000e-01 2.569721e+00 8.242958e+05 5.594280e+03 4.980000e-01  7.6312e+52  1.3180e+47  3.5537e+00  2.2224e+00
4.220000e-01 2.569935e+00 8.245327e+05 5.592859e+03 4.980000e-01  1.0489e+53  1.3449e+47  3.5920e+00  2.2753e+00
4.240000e-01 2.570176e+00 8.247990e+05 5.591435e+03 4.980000e-01  1.2915e+53  1.3621e+47  3.7305e+00  2.3484e+00
4.260000e-01 2.570441e+00 8.250922e+05 5.590008e+03 4.980000e-01  1.1768e+53  1.8974e+48  3.9402e+00  1.7671e+00
4.280000e-01 2.570729e+00 8.254109e+05 5.588578e+03 4.980000e-01  2.3420e+53  7.2707e+50  4.8969e+00  4.2266e+00
4.300000e-01 2.571039e+00 8.257540e+05 5.587146e+03 4.980000e-01  6.2279e+53  1.7771e+51  5.7542e+00  4.3751e+00
4.320000e-01 2.571370e+00 8.261202e+05 5.585712e+03 4.980000e-01  4.3623e+53  2.0186e+51  5.5106e+00  4.1752e+00
4.340000e-01 2.571729e+00 8.265161e+05 5.584277e+03 4.980000e-01  2.4911e+53  3.1156e+51  5.3113e+00  4.5683e+00
4.360000e-01 2.572121e+00 8.269488e+05 5.582840e+03 4.980000e-01  2.0714e+53  4.8458e+51  5.0071e+00  4.6391e+00
4.380000e-01 2.572524e+00 8.273948e+05 5.581403e+03 4.980000e-01  2.1800e+53  7.8250e+51  4.4666e+00  4.3762e+00
4.400000e-01 2.572938e+00 8.278512e+05 5.579966e+03 4.980000e-01  2.2003e+53  1.1989e+52  4.2927e+00  4.3852e+00
4.420000e-01 2.573360e+00 8.283183e+05 5.578528e+03 4.980000e-01  1.6646e+53  1.4165e+52  4.2964e+00  4.5196e+00
4.440000e-01 2.573792e+00 8.287954e+05 5.577091e+03 4.980000e-01  1.2822e+53  1.4810e+52  4.3403e+00  4.5203e+00
4.460000e-01 2.574232e+00 8.292814e+05 5.575653e+03 4.980000e-01  1.1753e+53  1.6154e+52  4.2118e+00  4.4392e+00
4.480000e-01 2.574680e+00 8.297755e+05 5.574216e+03 4.980000e-01  1.1566e+53  1.8179e+52  4.1916e+00  4.4128e+00
4.500000e-01 2.575134e+00 8.302777e+05 5.572779e+03 4.980000e-01  1.1073e+53  2.2385e+52  4.0498e+00  4.4179e+00
4.520000e-01 2.575596e+00 8.307883e+05 5.571343e+03 4.980000e-01  1.1653e+53  2.8136e+52  3.9724e+00  4.4745e+00
4.540000e-01 2.576065e+00 8.313059e+05 5.569908e+03 4.980000e-01  1.0825e+53  3.2512e+52  3.9738e+00  4.5587e+00
4.560000e-01 2.576539e+00 8.318297e+05 5.568474e+03 4.980000e-01  8.9268e+52  3.3555e+52  3.9643e+00  4.6333e+00
4.580000e-01 2.577018e+00 8.323586e+05 5.567040e+03 4.980000e-01  6.8976e+52  3.3627e+52  3.8394e+00  4.6365e+00
4.600000e-01 2.577500e+00 8.328918e+05 5.565608e+03 4.980000e-01  6.2095e+52  3.4120e+52  3.7700e+00  4.6386e+00
4.620000e-01 2.577986e+00 8.334285e+05 5.564177e+03 4.980000e-01  6.2045e+52  3.6984e+52  3.7403e+00  4.6435e+00
4.640000e-01 2.578474e+00 8.339681e+05 5.562747e+03 4.980000e-01  7.4694e+52  4.3322e+52  3.7850e+00  4.7343e+00
4.660000e-01 2.578964e+00 8.345088e+05 5.561319e+03 4.980000e-01  8.4262e+52  4.9857e+52  3.8128e+00  4.8110e+00
4.680000e-01 2.579455e+00 8.350516e+05 5.559892e+03 4.980000e-01  7.9181e+52  5.0439e+52  3.8157e+00  4.7986e+00
4.700000e-01 2.579947e+00 8.355959e+05 5.558466e+03 4.980000e-01  7.0475e+52  4.8271e+52  3.7746e+00  4.7881e+00
4.720000e-01 2.580440e+00 8.361407e+05 5.557042e+03 4.980000e-01  6.3393e+52  4.8653e+52  3.7659e+00  4.8237e+00
4.740000e-01 2.580933e+00 8.366860e+05 5.555620e+03 4.980000e-01  6.3984e+52  5.0471e+52  3.7763e+00  4.8323e+00
4.760000e-01 2.581427e+00 8.372314e+05 5.554199e+03 4.980000e-01  6.3543e+52  5.0266e+52  3.7555e+00  4.8302e+00
4.780000e-01 2.581920e+00 8.377767e+05 5.552780e+03 4.980000e-01  5.9889e+52  4.9968e+52  3.6965e+00  4.8017e+00
4.800000e-01 2.582413e+00 8.383217e+05 5.551362e+03 4.980000e-01  5.9890e+52  5.1419e+52  3.6992e+00  4.8224e+00
