# name   Z   N   A     Y(final)         Y(decay)         Y(seed)      
   k38  19  19  38   0.00000E+00   0.00000E+00   0.00000E+00
   k39  19  20  39   2.45025E-07   2.45025E-07   7.80684E-08
   k40  19  21  40   2.79224E-08   2.79224E-08   1.23224E-10
   k41  19  22  41   5.99353E-08   6.01076E-08   5.63392E-09
   k42  19  23  42   0.00000E+00   0.00000E+00   0.00000E+00
   k43  19  24  43   0.00000E+00   0.00000E+00   0.00000E+00
   k44  19  25  44   0.00000E+00   0.00000E+00   0.00000E+00
   k45  19  26  45   0.00000E+00   0.00000E+00   0.00000E+00
  ca38  20  18  38   0.00000E+00   0.00000E+00   0.00000E+00
  ca39  20  19  39   0.00000E+00   0.00000E+00   0.00000E+00
  ca40  20  20  40   6.66875E-09   6.66875E-09   1.65914E-06
  ca41  20  21  41   1.72385E-10   0.00000E+00   0.00000E+00
  ca42  20  22  42   1.31627E-07   1.31627E-07   1.10734E-08
  ca43  20  23  43   2.36569E-08   2.36569E-08   2.31052E-09
  ca44  20  24  44   2.97575E-07   2.97575E-07   3.57019E-08
  ca45  20  25  45   0.00000E+00   0.00000E+00   0.00000E+00
  ca46  20  26  46   2.19087E-07   2.19087E-07   6.84599E-11
  ca47  20  27  47   0.00000E+00   0.00000E+00   0.00000E+00
  ca48  20  28  48   1.47329E-09   1.47329E-09   3.20050E-09
  ca49  20  29  49   0.00000E+00   0.00000E+00   0.00000E+00
  sc40  21  19  40   0.00000E+00   0.00000E+00   0.00000E+00
  sc41  21  20  41   0.00000E+00   0.00000E+00   0.00000E+00
  sc42  21  21  42   0.00000E+00   0.00000E+00   0.00000E+00
  sc43  21  22  43   0.00000E+00   0.00000E+00   0.00000E+00
  sc44  21  23  44   0.00000E+00   0.00000E+00   0.00000E+00
  sc45  21  24  45   2.28115E-08   2.28115E-08   1.10504E-09
  sc46  21  25  46   0.00000E+00   0.00000E+00   0.00000E+00
  sc47  21  26  47   0.00000E+00   0.00000E+00   0.00000E+00
  sc48  21  27  48   0.00000E+00   0.00000E+00   0.00000E+00
  sc49  21  28  49   0.00000E+00   0.00000E+00   0.00000E+00
  sc50  21  29  50   0.00000E+00   0.00000E+00   0.00000E+00
  ti42  22  20  42   0.00000E+00   0.00000E+00   0.00000E+00
  ti43  22  21  43   0.00000E+00   0.00000E+00   0.00000E+00
  ti44  22  22  44   0.00000E+00   0.00000E+00   0.00000E+00
  ti45  22  23  45   0.00000E+00   0.00000E+00   0.00000E+00
  ti46  22  24  46   6.27961E-08   6.27961E-08   5.75215E-09
  ti47  22  25  47   2.33512E-08   2.33512E-08   5.18740E-09
  ti48  22  26  48   6.31931E-08   6.31931E-08   5.13998E-08
  ti49  22  27  49   8.91037E-08   8.91037E-08   3.77202E-09
  ti50  22  28  50   7.22811E-07   7.22811E-07   3.61165E-09
  ti51  22  29  51   0.00000E+00   0.00000E+00   0.00000E+00
  ti52  22  30  52   0.00000E+00   0.00000E+00   0.00000E+00
   v44  23  21  44   0.00000E+00   0.00000E+00   0.00000E+00
   v45  23  22  45   0.00000E+00   0.00000E+00   0.00000E+00
   v46  23  23  46   0.00000E+00   0.00000E+00   0.00000E+00
   v47  23  24  47   0.00000E+00   0.00000E+00   0.00000E+00
   v48  23  25  48   0.00000E+00   0.00000E+00   0.00000E+00
   v49  23  26  49   0.00000E+00   0.00000E+00   0.00000E+00
   v50  23  27  50   9.32911E-23   9.32911E-23   1.66463E-11
   v51  23  28  51   9.45491E-09   9.45491E-09   6.64185E-09
   v52  23  29  52   0.00000E+00   0.00000E+00   0.00000E+00
   v53  23  30  53   0.00000E+00   0.00000E+00   0.00000E+00
  cr46  24  22  46   0.00000E+00   0.00000E+00   0.00000E+00
  cr47  24  23  47   0.00000E+00   0.00000E+00   0.00000E+00
  cr48  24  24  48   0.00000E+00   0.00000E+00   0.00000E+00
  cr49  24  25  49   0.00000E+00   0.00000E+00   0.00000E+00
  cr50  24  26  50   0.00000E+00   0.00000E+00   1.48377E-08
  cr51  24  27  51   0.00000E+00   0.00000E+00   0.00000E+00
  cr52  24  28  52   1.06793E-07   1.06793E-07   2.86130E-07
  cr53  24  29  53   4.30959E-09   4.30959E-09   3.24448E-08
  cr54  24  30  54   6.13548E-08   6.13548E-08   8.07621E-09
  cr55  24  31  55   0.00000E+00   0.00000E+00   0.00000E+00
  cr56  24  32  56   0.00000E+00   0.00000E+00   0.00000E+00
  mn48  25  23  48   0.00000E+00   0.00000E+00   0.00000E+00
  mn49  25  24  49   0.00000E+00   0.00000E+00   0.00000E+00
  mn50  25  25  50   0.00000E+00   0.00000E+00   0.00000E+00
  mn51  25  26  51   0.00000E+00   0.00000E+00   0.00000E+00
  mn52  25  27  52   0.00000E+00   0.00000E+00   0.00000E+00
  mn53  25  28  53   1.42817E-24   0.00000E+00   0.00000E+00
  mn54  25  29  54   0.00000E+00   0.00000E+00   0.00000E+00
  mn55  25  30  55   5.14679E-09   5.14679E-09   2.10560E-07
  mn56  25  31  56   0.00000E+00   0.00000E+00   0.00000E+00
  mn57  25  32  57   0.00000E+00   0.00000E+00   0.00000E+00
  fe50  26  24  50   0.00000E+00   0.00000E+00   0.00000E+00
  fe51  26  25  51   0.00000E+00   0.00000E+00   0.00000E+00
  fe52  26  26  52   0.00000E+00   0.00000E+00   0.00000E+00
  fe53  26  27  53   0.00000E+00   0.00000E+00   0.00000E+00
  fe54  26  28  54   3.09218E-22   3.09218E-22   1.44598E-06
  fe55  26  29  55   0.00000E+00   0.00000E+00   0.00000E+00
