# name   Z   N   A     Y(final)         Y(decay)         Y(seed)      
 sn112  50  62 112   0.00000E+00   0.00000E+00   8.32048E-13
 sn113  50  63 113   0.00000E+00   0.00000E+00   0.00000E+00
 sn114  50  64 114   3.40451E-19   3.40451E-19   5.66135E-13
 sn115  50  65 115   7.82634E-19   7.82634E-19   2.91646E-13
 sn116  50  66 116   2.97403E-07   2.97403E-07   1.24721E-11
 sn117  50  67 117   9.78433E-08   9.78433E-08   6.58776E-12
 sn118  50  68 118   3.60442E-07   3.60442E-07   2.07755E-11
 sn119  50  69 119   1.19713E-07   1.19713E-07   7.36834E-12
 sn120  50  70 120   6.24562E-07   6.24562E-07   2.79465E-11
 sn121  50  71 121   0.00000E+00   0.00000E+00   0.00000E+00
 sn122  50  72 122   2.30723E-08   2.30723E-08   3.97153E-12
 sn123  50  73 123   0.00000E+00   0.00000E+00   0.00000E+00
 sn124  50  74 124   4.36376E-12   4.36376E-12   4.96655E-12
 sn125  50  75 125   0.00000E+00   0.00000E+00   0.00000E+00
 sn126  50  76 126   5.73249E-17   0.00000E+00   0.00000E+00
 sn127  50  77 127   0.00000E+00   0.00000E+00   0.00000E+00
 sb121  51  70 121   5.48667E-08   5.48667E-08   4.57982E-12
 sb122  51  71 122   0.00000E+00   0.00000E+00   0.00000E+00
 sb123  51  72 123   1.87973E-09   1.87973E-09   3.42546E-12
 sb124  51  73 124   0.00000E+00   0.00000E+00   0.00000E+00
 sb125  51  74 125   0.00000E+00   0.00000E+00   0.00000E+00
 sb126  51  75 126   9.55781E-24   0.00000E+00   0.00000E+00
 sb127  51  76 127   0.00000E+00   0.00000E+00   0.00000E+00
 sb128  51  77 128   0.00000E+00   0.00000E+00   0.00000E+00
 sb129  51  78 129   0.00000E+00   0.00000E+00   0.00000E+00
 sb130  51  79 130   0.00000E+00   0.00000E+00   0.00000E+00
 te120  52  68 120   0.00000E+00   0.00000E+00   1.06566E-13
 te121  52  69 121   0.00000E+00   0.00000E+00   0.00000E+00
 te122  52  70 122   7.95145E-08   7.95145E-08   3.01937E-12
 te123  52  71 123   3.14693E-08   3.14693E-08   1.05382E-12
 te124  52  72 124   1.55000E-07   1.55000E-07   5.61248E-12
 te125  52  73 125   5.02694E-08   5.02694E-08   8.37136E-12
 te126  52  74 126   2.73718E-07   2.73718E-07   2.23078E-11
 te127  52  75 127   0.00000E+00   0.00000E+00   0.00000E+00
 te128  52  76 128   5.11388E-08   5.11388E-08   3.75823E-11
 te129  52  77 129   0.00000E+00   0.00000E+00   0.00000E+00
 te130  52  78 130   4.73948E-09   4.73948E-09   4.03530E-11
 te131  52  79 131   0.00000E+00   0.00000E+00   0.00000E+00
 te132  52  80 132   0.00000E+00   0.00000E+00   0.00000E+00
  i125  53  72 125   0.00000E+00   0.00000E+00   0.00000E+00
  i126  53  73 126   0.00000E+00   0.00000E+00   0.00000E+00
  i127  53  74 127   3.79706E-08   3.79706E-08   2.77573E-11
  i128  53  75 128   0.00000E+00   0.00000E+00   0.00000E+00
  i129  53  76 129   1.90074E-12   0.00000E+00   0.00000E+00
  i130  53  77 130   0.00000E+00   0.00000E+00   0.00000E+00
  i131  53  78 131   0.00000E+00   0.00000E+00   0.00000E+00
  i132  53  79 132   0.00000E+00   0.00000E+00   0.00000E+00
  i133  53  80 133   0.00000E+00   0.00000E+00   0.00000E+00
  i134  53  81 134   0.00000E+00   0.00000E+00   0.00000E+00
  i135  53  82 135   0.00000E+00   0.00000E+00   0.00000E+00
 xe124  54  70 124   0.00000E+00   0.00000E+00   1.65858E-13
 xe125  54  71 125   0.00000E+00   0.00000E+00   0.00000E+00
 xe126  54  72 126   0.00000E+00   0.00000E+00   1.46825E-13
 xe127  54  73 127   0.00000E+00   0.00000E+00   0.00000E+00
 xe128  54  74 128   8.53069E-08   8.53069E-08   2.97457E-12
 xe129  54  75 129   3.62084E-08   3.62103E-08   3.70529E-11
 xe130  54  76 130   1.88100E-07   1.88099E-07   5.94913E-12
 xe131  54  77 131   8.34915E-08   8.34915E-08   2.94914E-11
 xe132  54  78 132   3.28918E-07   3.28918E-07   3.60456E-11
 xe133  54  79 133   0.00000E+00   0.00000E+00   0.00000E+00
 xe134  54  80 134   3.54899E-11   3.54899E-11   1.33094E-11
 xe135  54  81 135   0.00000E+00   0.00000E+00   0.00000E+00
 xe136  54  82 136   2.35443E-12   2.35443E-12   1.08134E-11
 xe137  54  83 137   0.00000E+00   0.00000E+00   0.00000E+00
 cs131  55  76 131   0.00000E+00   0.00000E+00   0.00000E+00
 cs132  55  77 132   0.00000E+00   0.00000E+00   0.00000E+00
 cs133  55  78 133   4.13561E-08   4.13561E-08   9.40538E-12
 cs134  55  79 134   0.00000E+00   0.00000E+00   0.00000E+00
 cs135  55  80 135   1.25452E-09   0.00000E+00   0.00000E+00
 cs136  55  81 136   0.00000E+00   0.00000E+00   0.00000E+00
 cs137  55  82 137   0.00000E+00   0.00000E+00   0.00000E+00
 cs138  55  83 138   0.00000E+00   0.00000E+00   0.00000E+00
 cs139  55  84 139   0.00000E+00   0.00000E+00   0.00000E+00
 ba130  56  74 130   0.00000E+00   0.00000E+00   1.25511E-13
 ba131  56  75 131   0.00000E+00   0.00000E+00   0.00000E+00
 ba132  56  76 132   0.00000E+00   0.00000E+00   1.19591E-13
 ba133  56  77 133   0.00000E+00   0.00000E+00   0.00000E+00
 ba134  56  78 134   1.38723E-07   1.38723E-07   2.86189E-12
 ba135  56  79 135   4.34150E-08   4.46695E-08   7.80537E-12
 ba136  56  80 136   2.95224E-07   2.95224E-07   9.29967E-12
 ba137  56  81 137   2.35073E-07   2.35073E-07   1.32994E-11
 ba138  56  82 138   1.65112E-06   1.65111E-06   8.48953E-11
 ba139  56  83 139   0.00000E+00   0.00000E+00   0.00000E+00
 ba140  56  84 140   0.00000E+00   0.00000E+00   0.00000E+00
 ba141  56  85 141   0.00000E+00   0.00000E+00   0.00000E+00
 la137  57  80 137   0.00000E+00   0.00000E+00   0.00000E+00
 la138  57  81 138   6.89730E-18   6.89730E-18   8.96227E-15
 la139  57  82 139   1.71311E-07   1.71311E-07   9.83968E-12
 la140  57  83 140   0.00000E+00   0.00000E+00   0.00000E+00
 la141  57  84 141   0.00000E+00   0.00000E+00   0.00000E+00
 la142  57  85 142   0.00000E+00   0.00000E+00   0.00000E+00
 la143  57  86 143   0.00000E+00   0.00000E+00   0.00000E+00
 ce136  58  78 136   0.00000E+00   0.00000E+00   5.50235E-14
 ce137  58  79 137   0.00000E+00   0.00000E+00   0.00000E+00
 ce138  58  80 138   0.00000E+00   0.00000E+00   7.46535E-14
 ce139  58  81 139   0.00000E+00   0.00000E+00   0.00000E+00
 ce140  58  82 140   3.55199E-07   3.55199E-07   2.63072E-11
 ce141  58  83 141   0.00000E+00   0.00000E+00   0.00000E+00
 ce142  58  84 142   1.26630E-11   1.26630E-11   3.30557E-12
 ce143  58  85 143   0.00000E+00   0.00000E+00   0.00000E+00
 ce144  58  86 144   0.00000E+00   0.00000E+00   0.00000E+00
 ce145  58  87 145   0.00000E+00   0.00000E+00   0.00000E+00
 pr141  59  82 141   2.19579E-08   2.19579E-08   4.10560E-12
 pr142  59  83 142   0.00000E+00   0.00000E+00   0.00000E+00
 pr143  59  84 143   0.00000E+00   0.00000E+00   0.00000E+00
 pr144  59  85 144   0.00000E+00   0.00000E+00   0.00000E+00
 pr145  59  86 145   0.00000E+00   0.00000E+00   0.00000E+00
 pr146  59  87 146   0.00000E+00   0.00000E+00   0.00000E+00
 pr147  59  88 147   0.00000E+00   0.00000E+00   0.00000E+00
 nd142  60  82 142   7.24138E-08   7.24138E-08   5.56477E-12
 nd143  60  83 143   7.65578E-09   7.65577E-09   2.47394E-12
 nd144  60  84 144   2.60197E-08   2.60197E-08   4.88265E-12
 nd145  60  85 145   4.08522E-09   4.08522E-09   1.80314E-12
 nd146  60  86 146   2.38401E-08   2.38401E-08   3.52479E-12
 nd147  60  87 147   0.00000E+00   0.00000E+00   0.00000E+00
 nd148  60  88 148   2.12263E-12   2.12263E-12   1.17617E-12
 nd149  60  89 149   0.00000E+00   0.00000E+00   0.00000E+00
 nd150  60  90 150   7.94980E-19   7.94980E-19   1.15147E-12
 nd151  60  91 151   0.00000E+00   0.00000E+00   0.00000E+00
 nd152  60  92 152   0.00000E+00   0.00000E+00   0.00000E+00
 pm144  61  83 144   0.00000E+00   0.00000E+00   0.00000E+00
 pm145  61  84 145   0.00000E+00   0.00000E+00   0.00000E+00
 pm146  61  85 146   0.00000E+00   0.00000E+00   0.00000E+00
 pm147  61  86 147   0.00000E+00   0.00000E+00   0.00000E+00
 pm148  61  87 148   0.00000E+00   0.00000E+00   0.00000E+00
 pm149  61  88 149   0.00000E+00   0.00000E+00   0.00000E+00
 pm150  61  89 150   0.00000E+00   0.00000E+00   0.00000E+00
 pm151  61  90 151   0.00000E+00   0.00000E+00   0.00000E+00
 pm152  61  91 152   0.00000E+00   0.00000E+00   0.00000E+00
 pm153  61  92 153   0.00000E+00   0.00000E+00   0.00000E+00
 sm144  62  82 144   0.00000E+00   0.00000E+00   2.19036E-13
 sm145  62  83 145   0.00000E+00   0.00000E+00   0.00000E+00
 sm146  62  84 146   0.00000E+00   0.00000E+00   0.00000E+00
 sm147  62  85 147   1.71663E-09   1.71663E-09   1.06949E-12
 sm148  62  86 148   7.71785E-09   7.71785E-09   8.01942E-13
 sm149  62  87 149   8.09488E-10   8.09488E-10   9.86017E-13
 sm150  62  88 150   4.21427E-09   4.21427E-09   5.26542E-13
 sm151  62  89 151   5.27635E-23   0.00000E+00   0.00000E+00
 sm152  62  90 152   5.43517E-10   5.43516E-10   1.90854E-12
 sm153  62  91 153   0.00000E+00   0.00000E+00   0.00000E+00
 sm154  62  92 154   1.91354E-13   1.91354E-13   1.62315E-12
 sm155  62  93 155   0.00000E+00   0.00000E+00   0.00000E+00
 sm156  62  94 156   0.00000E+00   0.00000E+00   0.00000E+00
 sm157  62  95 157   0.00000E+00   0.00000E+00   0.00000E+00
 eu151  63  88 151   3.82957E-10   3.82957E-10   1.23850E-12
 eu152  63  89 152   0.00000E+00   0.00000E+00   0.00000E+00
 eu153  63  90 153   7.27005E-10   7.27005E-10   1.35196E-12
 eu154  63  91 154   0.00000E+00   0.00000E+00   0.00000E+00
 eu155  63  92 155   0.00000E+00   0.00000E+00   0.00000E+00
 eu156  63  93 156   0.00000E+00   0.00000E+00   0.00000E+00
 eu157  63  94 157   0.00000E+00   0.00000E+00   0.00000E+00
 eu158  63  95 158   0.00000E+00   0.00000E+00   0.00000E+00
 eu159  63  96 159   0.00000E+00   0.00000E+00   0.00000E+00
 gd152  64  88 152   1.43487E-09   1.43487E-09   1.83826E-14
 gd153  64  89 153   0.00000E+00   0.00000E+00   0.00000E+00
 gd154  64  90 154   1.73506E-09   1.73506E-09   2.00370E-13
 gd155  64  91 155   6.19784E-10   6.19783E-10   1.36031E-12
 gd156  64  92 156   2.91645E-09   2.91645E-09   1.88146E-12
 gd157  64  93 157   1.14809E-09   1.14809E-09   1.43844E-12
 gd158  64  94 158   4.94942E-09   4.94942E-09   2.28312E-12
 gd159  64  95 159   0.00000E+00   0.00000E+00   0.00000E+00
 gd160  64  96 160   7.42376E-14   7.42376E-14   2.00922E-12
 gd161  64  97 161   0.00000E+00   0.00000E+00   0.00000E+00
 gd162  64  98 162   0.00000E+00   0.00000E+00   0.00000E+00
 tb156  65  91 156   0.00000E+00   0.00000E+00   0.00000E+00
 tb157  65  92 157   0.00000E+00   0.00000E+00   0.00000E+00
 tb158  65  93 158   0.00000E+00   0.00000E+00   0.00000E+00
 tb159  65  94 159   1.02092E-09   1.02092E-09   1.56090E-12
 tb160  65  95 160   0.00000E+00   0.00000E+00   0.00000E+00
 tb161  65  96 161   0.00000E+00   0.00000E+00   0.00000E+00
 tb162  65  97 162   0.00000E+00   0.00000E+00   0.00000E+00
 tb163  65  98 163   0.00000E+00   0.00000E+00   0.00000E+00
 dy156  66  90 156   0.00000E+00   0.00000E+00   5.51524E-15
 dy157  66  91 157   0.00000E+00   0.00000E+00   0.00000E+00
 dy158  66  92 158   0.00000E+00   0.00000E+00   9.35621E-15
 dy159  66  93 159   0.00000E+00   0.00000E+00   0.00000E+00
 dy160  66  94 160   1.85688E-09   1.85688E-09   2.29375E-13
 dy161  66  95 161   7.20074E-10   7.20074E-10   1.86031E-12
 dy162  66  96 162   3.71875E-09   3.71875E-09   2.51879E-12
 dy163  66  97 163   1.32288E-09   1.32288E-09   2.45192E-12
 dy164  66  98 164   6.79810E-09   6.79810E-09   2.78323E-12
 dy165  66  99 165   0.00000E+00   0.00000E+00   0.00000E+00
 dy166  66 100 166   0.00000E+00   0.00000E+00   0.00000E+00
 dy167  66 101 167   0.00000E+00   0.00000E+00   0.00000E+00
 dy168  66 102 168   0.00000E+00   0.00000E+00   0.00000E+00
 ho162  67  95 162   0.00000E+00   0.00000E+00   0.00000E+00
 ho163  67  96 163   0.00000E+00   0.00000E+00   0.00000E+00
 ho164  67  97 164   0.00000E+00   0.00000E+00   0.00000E+00
 ho165  67  98 165   1.17059E-09   1.17059E-09   2.36253E-12
 ho166  67  99 166   0.00000E+00   0.00000E+00   0.00000E+00
 ho167  67 100 167   0.00000E+00   0.00000E+00   0.00000E+00
 ho168  67 101 168   0.00000E+00   0.00000E+00   0.00000E+00
 ho169  67 102 169   0.00000E+00   0.00000E+00   0.00000E+00
 er162  68  94 162   0.00000E+00   0.00000E+00   8.84943E-15
 er163  68  95 163   0.00000E+00   0.00000E+00   0.00000E+00
 er164  68  96 164   0.00000E+00   0.00000E+00   1.04176E-13
 er165  68  97 165   0.00000E+00   0.00000E+00   0.00000E+00
 er166  68  98 166   2.74006E-09   2.74006E-09   2.18002E-12
 er167  68  99 167   9.09938E-10   9.09938E-10   1.48807E-12
 er168  68 100 168   4.40763E-09   4.40763E-09   1.75544E-12
 er169  68 101 169   0.00000E+00   0.00000E+00   0.00000E+00
 er170  68 102 170   6.57313E-12   6.57313E-12   9.70184E-13
 er171  68 103 171   0.00000E+00   0.00000E+00   0.00000E+00
 er172  68 104 172   0.00000E+00   0.00000E+00   0.00000E+00
 er173  68 105 173   0.00000E+00   0.00000E+00   0.00000E+00
 tm168  69  99 168   0.00000E+00   0.00000E+00   0.00000E+00
 tm169  69 100 169   8.78972E-10   8.78972E-10   9.84864E-13
 tm170  69 101 170   0.00000E+00   0.00000E+00   0.00000E+00
 tm171  69 102 171   0.00000E+00   0.00000E+00   0.00000E+00
 tm172  69 103 172   0.00000E+00   0.00000E+00   0.00000E+00
 tm173  69 104 173   0.00000E+00   0.00000E+00   0.00000E+00
 tm174  69 105 174   0.00000E+00   0.00000E+00   0.00000E+00
 tm175  69 106 175   0.00000E+00   0.00000E+00   0.00000E+00
 yb168  70  98 168   0.00000E+00   0.00000E+00   6.49468E-15
 yb169  70  99 169   0.00000E+00   0.00000E+00   0.00000E+00
 yb170  70 100 170   1.85727E-09   1.85727E-09   1.61285E-13
 yb171  70 101 171   1.13431E-09   1.13431E-09   7.62584E-13
 yb172  70 102 172   4.04747E-09   4.04747E-09   1.17391E-12
 yb173  70 103 173   1.59011E-09   1.59011E-09   8.71369E-13
 yb174  70 104 174   7.89687E-09   7.89687E-09   1.73354E-12
 yb175  70 105 175   0.00000E+00   0.00000E+00   0.00000E+00
 yb176  70 106 176   2.22853E-13   2.22853E-13   7.03590E-13
 yb177  70 107 177   0.00000E+00   0.00000E+00   0.00000E+00
 yb178  70 108 178   0.00000E+00   0.00000E+00   0.00000E+00
 lu174  71 103 174   0.00000E+00   0.00000E+00   0.00000E+00
 lu175  71 104 175   9.18581E-10   9.18581E-10   9.57086E-13
 lu176  71 105 176   5.89824E-10   5.89824E-10   2.77781E-14
 lu177  71 106 177   0.00000E+00   0.00000E+00   0.00000E+00
 lu178  71 107 178   0.00000E+00   0.00000E+00   0.00000E+00
 lu179  71 108 179   0.00000E+00   0.00000E+00   0.00000E+00
 lu180  71 109 180   0.00000E+00   0.00000E+00   0.00000E+00
 hf174  72 102 174   0.00000E+00   0.00000E+00   8.97205E-15
 hf175  72 103 175   0.00000E+00   0.00000E+00   0.00000E+00
 hf176  72 104 176   1.35358E-10   1.35358E-10   2.88324E-13
 hf177  72 105 177   7.25942E-10   7.25942E-10   1.03046E-12
 hf178  72 106 178   3.65521E-09   3.65521E-09   1.51179E-12
 hf179  72 107 179   1.12521E-09   1.12521E-09   7.54815E-13
 hf180  72 108 180   7.42996E-09   7.42996E-09   1.94394E-12
 hf181  72 109 181   0.00000E+00   0.00000E+00   0.00000E+00
 hf182  72 110 182   1.48356E-12   0.00000E+00   0.00000E+00
 hf183  72 111 183   0.00000E+00   0.00000E+00   0.00000E+00
 hf184  72 112 184   0.00000E+00   0.00000E+00   0.00000E+00
 ta179  73 106 179   0.00000E+00   0.00000E+00   0.00000E+00
 ta180  73 107 180   0.00000E+00   0.00000E+00   7.12127E-17
 ta181  73 108 181   1.07476E-09   1.07476E-09   5.93368E-13
 ta182  73 109 182   6.50027E-20   0.00000E+00   0.00000E+00
 ta183  73 110 183   0.00000E+00   0.00000E+00   0.00000E+00
 ta184  73 111 184   0.00000E+00   0.00000E+00   0.00000E+00
 ta185  73 112 185   0.00000E+00   0.00000E+00   0.00000E+00
 ta186  73 113 186   0.00000E+00   0.00000E+00   0.00000E+00
  w180  74 106 180   0.00000E+00   0.00000E+00   6.64596E-15
  w181  74 107 181   0.00000E+00   0.00000E+00   0.00000E+00
  w182  74 108 182   3.97863E-09   3.98012E-09   1.46765E-12
  w183  74 109 183   1.68503E-09   1.68503E-09   7.92531E-13
  w184  74 110 184   3.90911E-09   3.90911E-09   1.69693E-12
  w185  74 111 185   0.00000E+00   0.00000E+00   0.00000E+00
  w186  74 112 186   3.66611E-10   3.66611E-10   1.57454E-12
  w187  74 113 187   0.00000E+00   0.00000E+00   0.00000E+00
  w188  74 114 188   0.00000E+00   0.00000E+00   0.00000E+00
  w189  74 115 189   0.00000E+00   0.00000E+00   0.00000E+00
  w190  74 116 190   0.00000E+00   0.00000E+00   0.00000E+00
 re184  75 109 184   0.00000E+00   0.00000E+00   0.00000E+00
 re185  75 110 185   7.36423E-10   7.36423E-10   5.07671E-13
 re186  75 111 186   0.00000E+00   0.00000E+00   0.00000E+00
 re187  75 112 187   6.70453E-11   6.70453E-11   9.15891E-13
 re188  75 113 188   0.00000E+00   0.00000E+00   0.00000E+00
 re189  75 114 189   0.00000E+00   0.00000E+00   0.00000E+00
 re190  75 115 190   0.00000E+00   0.00000E+00   0.00000E+00
 re191  75 116 191   0.00000E+00   0.00000E+00   0.00000E+00
 os184  76 108 184   0.00000E+00   0.00000E+00   3.93013E-15
 os185  76 109 185   0.00000E+00   0.00000E+00   0.00000E+00
 os186  76 110 186   2.10907E-09   2.10907E-09   3.14017E-13
 os187  76 111 187   6.12579E-10   6.12579E-10   2.49759E-13
 os188  76 112 188   3.00073E-09   3.00073E-09   2.62080E-12
 os189  76 113 189   4.55633E-10   4.55633E-10   3.19539E-12
 os190  76 114 190   3.10620E-09   3.10620E-09   5.19641E-12
 os191  76 115 191   0.00000E+00   0.00000E+00   0.00000E+00
 os192  76 116 192   2.92781E-10   2.92781E-10   7.87401E-12
 os193  76 117 193   0.00000E+00   0.00000E+00   0.00000E+00
 os194  76 118 194   0.00000E+00   0.00000E+00   0.00000E+00
 os195  76 119 195   9.09830E-21   0.00000E+00   0.00000E+00
 os196  76 120 196   0.00000E+00   0.00000E+00   0.00000E+00
 ir190  77 113 190   0.00000E+00   0.00000E+00   0.00000E+00
 ir191  77 114 191   4.96869E-10   4.96869E-10   6.99979E-12
 ir192  77 115 192   0.00000E+00   0.00000E+00   0.00000E+00
 ir193  77 116 193   6.47411E-10   6.47411E-10   1.17664E-11
 ir194  77 117 194   0.00000E+00   0.00000E+00   0.00000E+00
 ir195  77 118 195   0.00000E+00   0.00000E+00   0.00000E+00
 ir196  77 119 196   0.00000E+00   0.00000E+00   0.00000E+00
 ir197  77 120 197   0.00000E+00   0.00000E+00   0.00000E+00
 pt190  78 112 190   0.00000E+00   0.00000E+00   4.56567E-15
 pt191  78 113 191   0.00000E+00   0.00000E+00   0.00000E+00
 pt192  78 114 192   1.40442E-09   1.40442E-09   2.55025E-13
 pt193  78 115 193   4.07427E-22   0.00000E+00   0.00000E+00
 pt194  78 116 194   2.24436E-09   2.24436E-09   1.07512E-11
 pt195  78 117 195   7.36435E-10   7.36435E-10   1.10333E-11
 pt196  78 118 196   4.09584E-09   4.09584E-09   8.23190E-12
 pt197  78 119 197   0.00000E+00   0.00000E+00   0.00000E+00
 pt198  78 120 198   1.26274E-14   1.26274E-14   2.33599E-12
 pt199  78 121 199   0.00000E+00   0.00000E+00   0.00000E+00
 pt200  78 122 200   0.00000E+00   0.00000E+00   0.00000E+00
 au195  79 116 195   0.00000E+00   0.00000E+00   0.00000E+00
 au196  79 117 196   0.00000E+00   0.00000E+00   0.00000E+00
 au197  79 118 197   9.46340E-10   9.46340E-10   6.50693E-12
 au198  79 119 198   0.00000E+00   0.00000E+00   0.00000E+00
 au199  79 120 199   0.00000E+00   0.00000E+00   0.00000E+00
 au200  79 121 200   0.00000E+00   0.00000E+00   0.00000E+00
 au201  79 122 201   0.00000E+00   0.00000E+00   0.00000E+00
 hg196  80 116 196   0.00000E+00   0.00000E+00   1.73567E-14
 hg197  80 117 197   0.00000E+00   0.00000E+00   0.00000E+00
 hg198  80 118 198   2.87029E-09   2.87029E-09   1.15364E-12
 hg199  80 119 199   1.41221E-09   1.41221E-09   1.95205E-12
 hg200  80 120 200   4.91578E-09   4.91578E-09   2.67294E-12
 hg201  80 121 201   1.83077E-09   1.83077E-09   1.52508E-12
 hg202  80 122 202   7.09834E-09   7.09834E-09   3.45514E-12
 hg203  80 123 203   0.00000E+00   0.00000E+00   0.00000E+00
 hg204  80 124 204   1.45994E-10   1.45994E-10   7.94938E-13
 hg205  80 125 205   0.00000E+00   0.00000E+00   0.00000E+00
 tl203  81 122 203   2.39125E-09   2.39125E-09   1.83464E-12
 tl204  81 123 204   0.00000E+00   0.00000E+00   0.00000E+00
 tl205  81 124 205   1.80256E-10   2.19476E-09   4.37943E-12
 tl206  81 125 206   0.00000E+00   0.00000E+00   0.00000E+00
 pb204  82 122 204   3.45376E-09   3.45376E-09   8.78526E-13
 pb205  82 123 205   2.01451E-09   0.00000E+00   0.00000E+00
 pb206  82 124 206   1.34428E-08   1.34428E-08   8.17464E-12
 pb207  82 125 207   5.77241E-09   5.77240E-09   9.04613E-12
 pb208  82 126 208   3.21838E-09   3.21838E-09   2.58930E-11
 pb209  82 127 209   0.00000E+00   0.00000E+00   0.00000E+00
 pb210  82 128 210   0.00000E+00   0.00000E+00   0.00000E+00
 bi209  83 126 209   1.17953E-11   1.17953E-11   3.49443E-12
 bi210  83 127 210   0.00000E+00   0.00000E+00   0.00000E+00
 bi211  83 128 211   0.00000E+00   0.00000E+00   0.00000E+00
 bi212  83 129 212   0.00000E+00   0.00000E+00   0.00000E+00
 po210  84 126 210   1.12353E-11   0.00000E+00   0.00000E+00
 po211  84 127 211   1.31974E-16   0.00000E+00   0.00000E+00
 po212  84 128 212   2.33748E-18   0.00000E+00   0.00000E+00
