# time[s], T9[GK], density[g/cm^3], R[km], Ye, Le, Lebar, Tnu, Tnubar

0.0000e+00 1.0023e+01 2.8288e+07 2.0434e+02 0.36324 3.9897E+52 5.2060E+52 3.6316E+00 5.0493E+00
1.8800e-04 9.9902e+00 2.7832e+07 2.0486e+02 0.36350 4.0100E+52 5.2325E+52 3.6316E+00 5.0493E+00
3.7600e-04 9.9516e+00 2.7298e+07 2.0538e+02 0.36374 3.9962E+52 5.2148E+52 3.6314E+00 5.0495E+00
5.6400e-04 9.9092e+00 2.6709e+07 2.0589e+02 0.36399 4.0160E+52 5.2407E+52 3.6314E+00 5.0495E+00
7.5200e-04 9.8630e+00 2.6094e+07 2.0640e+02 0.36422 4.0019E+52 5.2227E+52 3.6314E+00 5.0496E+00
9.4000e-04 9.8154e+00 2.5458e+07 2.0692e+02 0.36445 4.0221E+52 5.2490E+52 3.6314E+00 5.0496E+00
1.1280e-03 9.7698e+00 2.4843e+07 2.0744e+02 0.36468 4.0084E+52 5.2312E+52 3.6313E+00 5.0497E+00
1.5040e-03 9.6889e+00 2.3750e+07 2.0850e+02 0.36509 4.0025E+52 5.2208E+52 3.6308E+00 5.0518E+00
1.8800e-03 9.6173e+00 2.2965e+07 2.0958e+02 0.36551 4.0103E+52 5.2310E+52 3.6308E+00 5.0519E+00
2.2560e-03 9.5642e+00 2.2498e+07 2.1069e+02 0.36589 3.9855E+52 5.1992E+52 3.6304E+00 5.0519E+00
2.6310e-03 9.5271e+00 2.2143e+07 2.1181e+02 0.36630 3.9947E+52 5.2113E+52 3.6301E+00 5.0518E+00
3.0070e-03 9.5006e+00 2.1885e+07 2.1294e+02 0.36667 4.0041E+52 5.2241E+52 3.6299E+00 5.0517E+00
3.3830e-03 9.4604e+00 2.1521e+07 2.1405e+02 0.36710 4.0218E+52 5.2343E+52 3.6316E+00 5.0524E+00
3.7590e-03 9.4023e+00 2.1015e+07 2.1516e+02 0.36751 3.9980E+52 5.2044E+52 3.6314E+00 5.0525E+00
4.1350e-03 9.3217e+00 2.0312e+07 2.1628e+02 0.36797 4.0071E+52 5.2169E+52 3.6313E+00 5.0526E+00
4.5110e-03 9.2167e+00 1.9420e+07 2.1743e+02 0.36845 4.0172E+52 5.2307E+52 3.6311E+00 5.0526E+00
4.8870e-03 9.1018e+00 1.8411e+07 2.1861e+02 0.36887 4.0155E+52 5.2318E+52 3.6307E+00 5.0521E+00
5.2630e-03 8.9866e+00 1.7406e+07 2.1987e+02 0.36932 4.0152E+52 5.2335E+52 3.6295E+00 5.0525E+00
5.6390e-03 8.8876e+00 1.6506e+07 2.2121e+02 0.36973 3.9809E+52 5.1887E+52 3.6289E+00 5.0521E+00
6.0150e-03 8.8147e+00 1.5835e+07 2.2264e+02 0.37012 4.0012E+52 5.2161E+52 3.6288E+00 5.0521E+00
6.3910e-03 8.7691e+00 1.5524e+07 2.2415e+02 0.37047 4.0040E+52 5.2189E+52 3.6281E+00 5.0515E+00
6.7670e-03 8.7474e+00 1.5364e+07 2.2574e+02 0.37086 3.9993E+52 5.2142E+52 3.6280E+00 5.0518E+00
7.1430e-03 8.7884e+00 1.5538e+07 2.2736e+02 0.37117 3.9920E+52 5.2021E+52 3.6281E+00 5.0511E+00
7.5200e-03 8.8402e+00 1.5902e+07 2.2901e+02 0.37148 3.9899E+52 5.2000E+52 3.6281E+00 5.0516E+00
7.8960e-03 8.8860e+00 1.6258e+07 2.3066e+02 0.37182 3.9674E+52 5.1707E+52 3.6273E+00 5.0510E+00
8.2720e-03 8.9095e+00 1.6421e+07 2.3230e+02 0.37217 3.9941E+52 5.2057E+52 3.6272E+00 5.0511E+00
8.6480e-03 8.8954e+00 1.6273e+07 2.3393e+02 0.37251 3.9901E+52 5.2011E+52 3.6266E+00 5.0506E+00
9.0240e-03 8.8461e+00 1.5818e+07 2.3556e+02 0.37288 3.9679E+52 5.1714E+52 3.6255E+00 5.0494E+00
9.4000e-03 8.7678e+00 1.5234e+07 2.3721e+02 0.37322 3.9652E+52 5.1685E+52 3.6251E+00 5.0492E+00
9.7750e-03 8.6615e+00 1.4688e+07 2.3890e+02 0.37354 3.9820E+52 5.1916E+52 3.6246E+00 5.0487E+00
