# time[s], T9[GK], density[g/cm^3], R[km], Ye, Le, Lebar, Tnu, Tnubar

0.0000e+00 1.0063e+01 6.7054e+07 3.6530e+02 0.29471 2.6528E+52 3.4888E+52 3.5157E+00 4.8861E+00
3.8000e-04 9.9994e+00 6.5197e+07 3.6797e+02 0.29495 2.6436E+52 3.4759E+52 3.5172E+00 4.8877E+00
7.5000e-04 9.9372e+00 6.3352e+07 3.7068e+02 0.29520 2.6443E+52 3.4767E+52 3.5177E+00 4.8888E+00
1.1300e-03 9.8770e+00 6.1504e+07 3.7341e+02 0.29544 2.6454E+52 3.4779E+52 3.5182E+00 4.8899E+00
1.5100e-03 9.8164e+00 5.9662e+07 3.7619e+02 0.29568 2.6470E+52 3.4801E+52 3.5187E+00 4.8909E+00
1.8800e-03 9.7569e+00 5.7839e+07 3.7900e+02 0.29591 2.6492E+52 3.4827E+52 3.5192E+00 4.8921E+00
2.2600e-03 9.6993e+00 5.6009e+07 3.8185e+02 0.29614 2.6389E+52 3.4686E+52 3.5196E+00 4.8927E+00
2.6300e-03 9.6360e+00 5.4266e+07 3.8474e+02 0.29637 2.6420E+52 3.4722E+52 3.5202E+00 4.8936E+00
3.0100e-03 9.5602e+00 5.2995e+07 3.8768e+02 0.29659 2.6308E+52 3.4579E+52 3.5200E+00 4.8935E+00
3.3900e-03 9.4940e+00 5.1841e+07 3.9063e+02 0.29681 2.6347E+52 3.4627E+52 3.5206E+00 4.8944E+00
3.7600e-03 9.4312e+00 5.0714e+07 3.9360e+02 0.29702 2.6390E+52 3.4678E+52 3.5213E+00 4.8953E+00
4.1400e-03 9.3677e+00 4.9609e+07 3.9659e+02 0.29723 2.6339E+52 3.4592E+52 3.5231E+00 4.8963E+00
4.5100e-03 9.3064e+00 4.8517e+07 3.9959e+02 0.29744 2.6393E+52 3.4644E+52 3.5241E+00 4.8972E+00
4.8900e-03 9.2471e+00 4.7425e+07 4.0261e+02 0.29764 2.6290E+52 3.4520E+52 3.5237E+00 4.8970E+00
5.2600e-03 9.1894e+00 4.6333e+07 4.0565e+02 0.29784 2.6348E+52 3.4579E+52 3.5246E+00 4.8980E+00
5.6400e-03 9.1307e+00 4.5251e+07 4.0871e+02 0.29803 2.6409E+52 3.4642E+52 3.5256E+00 4.8991E+00
6.0200e-03 9.0737e+00 4.4181e+07 4.1179e+02 0.29822 2.6220E+52 3.4402E+52 3.5258E+00 4.8992E+00
6.3900e-03 9.0185e+00 4.3110e+07 4.1489e+02 0.29841 2.6281E+52 3.4464E+52 3.5267E+00 4.9001E+00
6.7700e-03 8.9649e+00 4.2037e+07 4.1802e+02 0.29859 2.6345E+52 3.4535E+52 3.5276E+00 4.9009E+00
7.1500e-03 8.9097e+00 4.0974e+07 4.2117e+02 0.29878 2.6263E+52 3.4434E+52 3.5272E+00 4.9006E+00
7.5200e-03 8.8567e+00 3.9915e+07 4.2434e+02 0.29896 2.6330E+52 3.4513E+52 3.5280E+00 4.9016E+00
7.9000e-03 8.8050e+00 3.8850e+07 4.2754e+02 0.29913 2.6270E+52 3.4449E+52 3.5289E+00 4.9027E+00
8.2700e-03 8.7526e+00 3.7867e+07 4.3076e+02 0.29931 2.6194E+52 3.4328E+52 3.5306E+00 4.9044E+00
8.6500e-03 8.7005e+00 3.6961e+07 4.3401e+02 0.29947 2.6279E+52 3.4423E+52 3.5318E+00 4.9055E+00
9.0300e-03 8.6494e+00 3.6099e+07 4.3729e+02 0.29964 2.6214E+52 3.4352E+52 3.5312E+00 4.9055E+00
9.4000e-03 8.5985e+00 3.5270e+07 4.4057e+02 0.29980 2.6303E+52 3.4452E+52 3.5323E+00 4.9066E+00
9.7800e-03 8.5463e+00 3.4480e+07 4.4388e+02 0.29996 2.6135E+52 3.4218E+52 3.5321E+00 4.9059E+00
1.0160e-02 8.4945e+00 3.3732e+07 4.4720e+02 0.30012 2.6225E+52 3.4314E+52 3.5330E+00 4.9065E+00
1.0530e-02 8.4430e+00 3.3011e+07 4.5054e+02 0.30027 2.6170E+52 3.4251E+52 3.5326E+00 4.9064E+00
1.0910e-02 8.3918e+00 3.2311e+07 4.5388e+02 0.30042 2.6243E+52 3.4296E+52 3.5346E+00 4.9078E+00
1.1290e-02 8.3404e+00 3.1637e+07 4.5724e+02 0.30057 2.6195E+52 3.4239E+52 3.5343E+00 4.9077E+00
1.1660e-02 8.2891e+00 3.0993e+07 4.6060e+02 0.30072 2.6032E+52 3.4053E+52 3.5342E+00 4.9073E+00
1.2040e-02 8.2385e+00 3.0369e+07 4.6398e+02 0.30086 2.6116E+52 3.4152E+52 3.5348E+00 4.9078E+00
1.2410e-02 8.1885e+00 2.9762e+07 4.6736e+02 0.30100 2.6073E+52 3.4099E+52 3.5346E+00 4.9076E+00
1.2790e-02 8.1390e+00 2.9172e+07 4.7075e+02 0.30114 2.6155E+52 3.4198E+52 3.5352E+00 4.9082E+00
1.3170e-02 8.0907e+00 2.8594e+07 4.7415e+02 0.30128 2.6115E+52 3.4147E+52 3.5350E+00 4.9080E+00
1.3540e-02 8.0431e+00 2.8025e+07 4.7756e+02 0.30141 2.5949E+52 3.3911E+52 3.5362E+00 4.9085E+00
1.3920e-02 8.0049e+00 2.7412e+07 4.8098e+02 0.30155 2.6028E+52 3.4018E+52 3.5368E+00 4.9093E+00
1.4290e-02 7.9683e+00 2.6729e+07 4.8441e+02 0.30168 2.5995E+52 3.3970E+52 3.5366E+00 4.9090E+00
1.4670e-02 7.9314e+00 2.6016e+07 4.8786e+02 0.30180 2.5962E+52 3.3925E+52 3.5364E+00 4.9086E+00
1.5050e-02 7.8938e+00 2.5282e+07 4.9135e+02 0.30192 2.5937E+52 3.3889E+52 3.5361E+00 4.9084E+00
1.5420e-02 7.8555e+00 2.4545e+07 4.9487e+02 0.30204 2.5937E+52 3.3869E+52 3.5379E+00 4.9094E+00
1.5800e-02 7.8165e+00 2.3803e+07 4.9842e+02 0.30215 2.5919E+52 3.3839E+52 3.5376E+00 4.9091E+00
1.6170e-02 7.7767e+00 2.3061e+07 5.0201e+02 0.30227 2.5876E+52 3.3782E+52 3.5386E+00 4.9101E+00
1.6550e-02 7.7361e+00 2.2321e+07 5.0565e+02 0.30238 2.5867E+52 3.3764E+52 3.5384E+00 4.9097E+00
