# time[s], T9[GK], density[g/cm^3], R[km], Ye, Le, Lebar, Tnu, Tnubar

0.0000e+00 1.0014e+01 3.4122e+07 2.4332e+02 0.34713 3.9186E+52  5.1238E+52 3.6021E+00  5.0162E+00
1.8800e-04 9.9877e+00 3.3683e+07 2.4461e+02 0.34735 3.8865E+52  5.0822E+52 3.6017E+00  5.0160E+00
3.7600e-04 9.9585e+00 3.3197e+07 2.4591e+02 0.34754 3.9028E+52  5.1030E+52 3.6023E+00  5.0167E+00
5.6400e-04 9.9268e+00 3.2665e+07 2.4722e+02 0.34774 3.9192E+52  5.1238E+52 3.6029E+00  5.0174E+00
7.5200e-04 9.8928e+00 3.2089e+07 2.4854e+02 0.34794 3.8882E+52  5.0838E+52 3.6024E+00  5.0170E+00
9.3900e-04 9.8539e+00 3.1458e+07 2.4988e+02 0.34813 3.9052E+52  5.1056E+52 3.6030E+00  5.0177E+00
1.1270e-03 9.8130e+00 3.0795e+07 2.5122e+02 0.34834 3.9220E+52  5.1270E+52 3.6035E+00  5.0184E+00
1.3150e-03 9.7697e+00 3.0086e+07 2.5259e+02 0.34854 3.8999E+52  5.0995E+52 3.6036E+00  5.0209E+00
1.5030e-03 9.7255e+00 2.9346e+07 2.5396e+02 0.34874 3.8963E+52  5.0955E+52 3.6026E+00  5.0198E+00
1.6910e-03 9.6786e+00 2.8586e+07 2.5536e+02 0.34895 3.8894E+52  5.0857E+52 3.6035E+00  5.0211E+00
1.8790e-03 9.6255e+00 2.7914e+07 2.5679e+02 0.34914 3.9083E+52  5.1099E+52 3.6040E+00  5.0218E+00
2.0670e-03 9.5625e+00 2.7313e+07 2.5823e+02 0.34936 3.9021E+52  5.1014E+52 3.6049E+00  5.0229E+00
2.2550e-03 9.5064e+00 2.6763e+07 2.5970e+02 0.34955 3.9019E+52  5.1017E+52 3.6040E+00  5.0220E+00
2.4430e-03 9.4503e+00 2.6223e+07 2.6118e+02 0.34974 3.8966E+52  5.0949E+52 3.6048E+00  5.0231E+00
2.6310e-03 9.3943e+00 2.5679e+07 2.6269e+02 0.34995 3.9169E+52  5.1212E+52 3.6051E+00  5.0236E+00
2.8190e-03 9.3404e+00 2.5143e+07 2.6421e+02 0.35016 3.8934E+52  5.0916E+52 3.6047E+00  5.0233E+00
3.0070e-03 9.2872e+00 2.4602e+07 2.6575e+02 0.35034 3.8896E+52  5.0866E+52 3.6054E+00  5.0244E+00
3.3830e-03 9.1834e+00 2.3548e+07 2.6890e+02 0.35071 3.8783E+52  5.0693E+52 3.6053E+00  5.0265E+00
