# t [s]      T [GK]       rho[g/cm^3]   r [km]      Ye           Le [erg/s]  Lebar [erg/s] Te [MeV]  Tebar [MeV]
# Nr: 81314
4.370000e-01 3.769164e+01 8.396314e+10 7.870895e+01 1.297796e-01 4.1489e+52  3.8211e+52  4.9356e+00  5.7938e+00
4.380000e-01 3.483059e+01 6.821325e+10 8.288545e+01 1.332407e-01 4.1360e+52  3.6652e+52  4.6820e+00  5.6658e+00
4.390000e-01 3.327454e+01 5.910265e+10 8.710241e+01 1.335009e-01 3.8105e+52  3.3137e+52  4.5128e+00  5.3118e+00
4.400000e-01 3.222581e+01 5.185586e+10 9.086831e+01 1.312601e-01 3.6162e+52  3.2380e+52  4.3144e+00  5.0718e+00
4.410000e-01 2.984382e+01 4.043333e+10 9.799141e+01 1.284477e-01 3.3470e+52  3.5367e+52  3.9689e+00  4.9456e+00
4.420000e-01 2.640150e+01 2.572787e+10 1.081669e+02 1.305118e-01 3.5137e+52  3.6002e+52  3.5914e+00  4.8321e+00
4.430000e-01 2.432823e+01 1.927092e+10 1.203270e+02 1.332338e-01 3.4468e+52  3.5278e+52  3.3882e+00  4.6809e+00
4.440000e-01 2.236757e+01 1.501560e+10 1.331049e+02 1.371870e-01 3.3635e+52  3.5302e+52  3.2378e+00  4.5620e+00
4.450000e-01 2.079075e+01 1.074313e+10 1.467526e+02 1.430341e-01 3.2966e+52  3.5803e+52  3.1378e+00  4.5023e+00
4.460000e-01 1.930111e+01 7.704574e+09 1.633597e+02 1.490028e-01 3.2413e+52  3.6928e+52  3.0435e+00  4.4299e+00
4.470000e-01 1.722694e+01 4.613873e+09 1.844902e+02 1.557827e-01 3.3005e+52  3.8478e+52  2.9569e+00  4.3251e+00
4.480000e-01 1.535445e+01 2.673289e+09 2.079850e+02 1.593112e-01 3.4055e+52  3.9368e+52  2.9265e+00  4.3281e+00
4.490000e-01 1.375827e+01 1.727723e+09 2.325264e+02 1.618924e-01 3.6473e+52  4.1910e+52  2.9272e+00  4.3268e+00
4.500000e-01 1.256323e+01 1.213832e+09 2.582501e+02 1.640561e-01 3.8379e+52  4.5246e+52  2.9442e+00  4.2990e+00
4.510000e-01 1.171190e+01 9.069177e+08 2.838140e+02 1.654144e-01 3.9675e+52  4.6871e+52  2.9482e+00  4.2914e+00
